iso_3,agriculture_type,total_star
ABW,Crops,2.544356555
ABW,Livestock,0
AFG,Crops,173.7623019
AFG,Livestock,108.0797815
AGO,Crops,1843.592057
AGO,Livestock,1425.46738
AIA,Crops,0.026598316
AIA,Livestock,0
ALB,Crops,34.55062533
ALB,Livestock,2.855393894
AND,Crops,0.755016929
AND,Livestock,0.655173799
ARE,Crops,10.6625304
ARE,Livestock,3.158395826
ARG,Crops,8186.296071
ARG,Livestock,6177.967586
ARM,Crops,42.35046287
ARM,Livestock,25.37288844
ASM,Crops,7.650728531
ASM,Livestock,0
ATF,Crops,6.696940795
ATF,Livestock,0
ATG,Crops,75.68859439
ATG,Livestock,20.8151734
AUS,Crops,13006.52176
AUS,Livestock,15077.33106
AUT,Crops,80.07153474
AUT,Livestock,5.635438616
AZE,Crops,79.94456759
AZE,Livestock,35.00643308
BDI,Crops,393.7060134
BDI,Livestock,47.16092696
BEL,Crops,2.3536432
BEL,Livestock,0.881013455
BEN,Crops,56.67623743
BEN,Livestock,5.014059672
BES,Crops,1.677657068
BES,Livestock,0
BFA,Crops,65.08996004
BFA,Livestock,47.7935917
BGD,Crops,208.2695625
BGD,Livestock,23.03614697
BGR,Crops,77.67937816
BGR,Livestock,13.81203086
BHR,Crops,0.025318873
BHR,Livestock,0
BHS,Crops,600.9822906
BHS,Livestock,0.504123688
BIH,Crops,129.4129419
BIH,Livestock,5.845556529
BLR,Crops,97.04525946
BLR,Livestock,17.15246973
BLZ,Crops,185.8239708
BLZ,Livestock,2.663203008
BMU,Crops,0
BMU,Livestock,0
BOL,Crops,6850.712513
BOL,Livestock,4375.774085
BRA,Crops,44578.91759
BRA,Livestock,19772.74263
BRB,Crops,33.38567235
BRB,Livestock,11.23616314
BRN,Crops,76.66868155
BRN,Livestock,3.204897612
BTN,Crops,417.3880513
BTN,Livestock,99.94783192
BVT,Crops,0
BVT,Livestock,0
BWA,Crops,221.536473
BWA,Livestock,262.7420777
CAF,Crops,67.23394168
CAF,Livestock,12.50711433
CAN,Crops,266.8225167
CAN,Livestock,41.46251447
CCK,Crops,0
CCK,Livestock,0
CHE,Crops,12.42857193
CHE,Livestock,4.392554879
CHL,Crops,3744.740691
CHL,Livestock,2859.436939
CHN,Crops,34197.08078
CHN,Livestock,15249.24689
CIV,Crops,2713.032164
CIV,Livestock,1988.89373
CMR,Crops,16943.35499
CMR,Livestock,8515.517865
COD,Crops,6966.760846
COD,Livestock,310.1593345
COG,Crops,609.2110672
COG,Livestock,347.7190856
COK,Crops,471.9059719
COK,Livestock,0
COL,Crops,48946.21684
COL,Livestock,45542.13944
COM,Crops,1293.746118
COM,Livestock,372.8964691
CPV,Crops,319.7216832
CPV,Livestock,23.3346707
CRI,Crops,8219.960106
CRI,Livestock,2587.288753
CUB,Crops,9413.582714
CUB,Livestock,5880.234012
CUW,Crops,5.975814871
CUW,Livestock,0
CXR,Crops,466.5666962
CXR,Livestock,0
CYM,Crops,119.5497606
CYM,Livestock,42.65736389
CYP,Crops,3.14914607
CYP,Livestock,0.000186385
CZE,Crops,15.0599255
CZE,Livestock,3.128747743
DEU,Crops,45.52665869
DEU,Livestock,74.9015548
DJI,Crops,1.067570629
DJI,Livestock,9.492920012
DMA,Crops,195.6068201
DMA,Livestock,0
DNK,Crops,0.858157195
DNK,Livestock,0.188202981
DOM,Crops,7771.793355
DOM,Livestock,1852.896191
DZA,Crops,834.1375094
DZA,Livestock,662.4584623
ECU,Crops,27884.76523
ECU,Livestock,9717.690566
EGY,Crops,49.52198437
EGY,Livestock,0
ERI,Crops,108.1917556
ERI,Livestock,53.65108026
ESH,Crops,0.059084529
ESH,Livestock,4.385055701
ESP,Crops,3069.390068
ESP,Livestock,688.0772285
EST,Crops,7.532724347
EST,Livestock,0.467455032
ETH,Crops,8954.330711
ETH,Livestock,2554.357527
FIN,Crops,16.34563512
FIN,Livestock,0.713725256
FJI,Crops,2250.794261
FJI,Livestock,127.3562148
FLK,Crops,2.962430134
FLK,Livestock,256.9969153
FRA,Crops,495.4869058
FRA,Livestock,0.386445816
FRO,Crops,0.302400711
FRO,Livestock,0
FSM,Crops,804.7376933
FSM,Livestock,0
GAB,Crops,296.5194648
GAB,Livestock,169.7746578
