iso_3,agriculture_type,representative_ecoregion_id,representative_ecoregion_eco_risk,representative_ecoregion_category,representative_ecoregion_name,max_ecoregion_id,max_ecoregion_eco_risk,max_ecoregion_category,max_ecoregion_name,min_ecoregion_id,min_ecoregion_eco_risk,min_ecoregion_category,min_ecoregion_name
AFG,Crops,834,2.012390171,E,Paropamisus xeric woodlands,807,2.143594752,E,Afghan Mountains semi-desert,762,1.393885922,E,Pamir alpine desert and tundra
AGO,Crops,36,1.659809306,E,Angolan wet miombo woodlands,77,2.146771403,C,Angolan montane forest-grassland,98,1.37625653,D,Kaokoveld desert
ALB,Crops,794,2.076022346,C,Illyrian deciduous forests,794,2.076022346,C,Illyrian deciduous forests,646,1.964848998,C,Balkan mixed forests
ARE,Crops,810,1.135272154,E,Arabian sand desert,320,2.227227323,B,Indus River Delta-Arabian Sea mangroves,810,1.135272154,E,Arabian sand desert
ARG,Crops,576,1.811194291,C,Humid Pampas,586,2.001473605,E,Southern Cone Mesopotamian savanna,561,1.19836058,D,Magellanic subpolar forests
ARM,Crops,727,1.983186325,C,Eastern Anatolian montane steppe,812,2.053913783,C,Azerbaijan shrub desert and steppe,650,1.973422757,E,Caucasus mixed forests
AUS,Crops,192,1.717169308,E,Southeast Australia temperate savanna,204,1.971545039,C,Naracoorte woodlands,210,1.026727332,A,Great Sandy-Tanami desert
AUT,Crops,674,1.953654725,C,Pannonian mixed forests,689,1.963627793,E,Alps conifer and mixed forests,654,1.898178817,C,Central European mixed forests
AZE,Crops,812,2.053913783,C,Azerbaijan shrub desert and steppe,649,2.072543153,C,Caspian Hyrcanian mixed forests,650,1.973422757,E,Caucasus mixed forests
BDI,Crops,1,1.945361429,C,Albertine Rift montane forests,61,1.984126062,C,Victoria Basin forest-savanna,76,1.548573597,D,Zambezian flooded grasslands
BEL,Crops,664,1.940130847,C,European Atlantic mixed forests,664,1.940130847,C,European Atlantic mixed forests,686,1.905426399,B,Western European broadleaf forests
BEN,Crops,62,1.793007042,E,West Sudanian savanna,23,2.060272,C,Nigerian lowland forests,62,1.793007042,E,West Sudanian savanna
BFA,Crops,62,1.793007042,E,West Sudanian savanna,62,1.793007042,E,West Sudanian savanna,53,1.363278794,E,Sahelian Acacia savanna
BGD,Crops,238,1.975113394,C,Lower Gangetic Plains moist deciduous forests,282,2.157795923,C,Sundarbans freshwater swamp forests,249,1.925189852,E,Mizoram-Manipur-Kachin rain forests
BGR,Crops,646,1.964848998,C,Balkan mixed forests,678,2.062922544,B,Rodope montane mixed forests,735,1.833659488,E,Pontic steppe
BHS,Crops,552,1.815780677,A,Bahamian pineyards,612,1.83284331,A,Bahamian-Antillean mangroves,552,1.815780677,A,Bahamian pineyards
BIH,Crops,674,1.953654725,C,Pannonian mixed forests,794,2.076022346,C,Illyrian deciduous forests,674,1.953654725,C,Pannonian mixed forests
BLR,Crops,654,1.898178817,C,Central European mixed forests,654,1.898178817,C,Central European mixed forests,679,1.709193105,C,Sarmatic mixed forests
BLZ,Crops,494,1.748309807,C,Petén-Veracruz moist forests,613,1.873623913,B,Mesoamerican Gulf-Caribbean mangroves,519,1.535898063,C,Yucatán moist forests
BOL,Crops,529,1.405322919,E,Chiquitano dry forests,589,1.907519762,D,Central Andean wet puna,505,1.12300942,D,Southwest Amazon moist forests
BRA,Crops,567,1.503986042,E,Cerrado,445,2.201852255,E,Caatinga Enclaves moist forests,511,1.080708719,D,Uatumã-Trombetas moist forests
BRB,Crops,599,2.267564441,C,Caribbean shrublands,599,2.267564441,C,Caribbean shrublands,599,2.267564441,C,Caribbean shrublands
BRN,Crops,219,1.519001562,E,Borneo lowland rain forests,322,1.937677624,E,Sunda Shelf mangroves,220,1.278509396,E,Borneo montane rain forests
BTN,Crops,306,1.812456744,E,Eastern Himalayan broadleaf forests,311,2.102459883,C,Terai-Duar savanna and grasslands,702,1.46280244,E,Northeast Himalayan subalpine conifer forests
BWA,Crops,65,1.632907396,B,Zambezian mopane woodlands,66,1.879063835,C,Zambezian-Limpopo mixed woodlands,47,1.184513154,A,Kalahari Acacia woodlands
CAF,Crops,53,1.363278794,E,Sahelian Acacia savanna,43,1.559897444,E,East Sudanian savanna,26,1.256948142,E,Northwest Congolian lowland forests
CAN,Crops,386,1.445641656,A,Canadian Aspen forests and parklands,342,1.972831685,C,Southern Great Lakes forests,413,0.977602755,A,Canadian Low Arctic tundra
CHE,Crops,686,1.905426399,B,Western European broadleaf forests,675,2.08969449,C,Po Basin mixed forests,686,1.905426399,B,Western European broadleaf forests
CHL,Crops,596,1.766566747,C,Chilean Matorral,596,1.766566747,C,Chilean Matorral,561,1.19836058,D,Magellanic subpolar forests
CHN,Crops,667,1.940758865,C,Huang He Plain mixed forests,748,2.223024837,B,Yellow Sea saline meadow,710,0.954,A,East Siberian taiga
CIV,Crops,11,1.99418614,C,Eastern Guinean forests,113,2.130765346,E,Guinean mangroves,62,1.793007042,E,West Sudanian savanna
CMR,Crops,43,1.559897444,E,East Sudanian savanna,21,2.311343457,D,Mount Cameroon and Bioko montane forests,26,1.256948142,E,Northwest Congolian lowland forests
