iso_3,agriculture_type,representative_administrative_boundary_id,representative_administrative_boundary_name,representative_administrative_boundary_total_star_per_ha,representative_administrative_boundary_agriculture_star_per_ha,max_administrative_boundary_id,max_administrative_boundary_name,max_administrative_boundary_total_star_per_ha,max_administrative_boundary_agriculture_star_per_ha,min_administrative_boundary_id,min_administrative_boundary_name,min_administrative_boundary_total_star_per_ha,min_administrative_boundary_agriculture_star_per_ha
AFG,Crops,AFG.12_1,Hirat,1.22673E-05,1.75613E-06,AFG.24_1,Nuristan,0.000284237,6.08682E-06,AFG.19_1,Kunduz,2.7959E-06,7.34795E-07
AGO,Crops,AGO.10_1,Huíla,9.35912E-05,6.75814E-05,AGO.6_1,Cuanza Norte,0.002869275,0.001230055,AGO.3_1,Bié,2.24628E-05,1.57128E-06
ALB,Crops,ALB.6_1,Gjirokastër,3.89095E-06,2.0437E-07,ALB.5_1,Fier,0.000186278,2.0581E-05,ALB.7_1,Korçë,2.94713E-06,2.46231E-07
ARE,Crops,ARE.1_1,Abu Dhabi,2.47096E-05,3.81488E-08,ARE.4_1,Fujairah,0.000338123,9.67808E-06,ARE.1_1,Abu Dhabi,2.47096E-05,3.81488E-08
ARG,Crops,ARG.1_1,Buenos Aires,3.17981E-05,9.0683E-06,ARG.14_1,Misiones,0.004970939,0.001525059,ARG.18_1,San Juan,1.19984E-05,1.09752E-06
ARM,Crops,ARM.5_1,Gegharkunik,3.22105E-06,2.38756E-07,ARM.2_1,Ararat,0.000365662,0.000142325,ARM.6_1,Kotayk,7.01377E-07,5.86797E-08
AUS,Crops,AUS.5_1,New South Wales,0.000188421,9.43662E-06,AUS.6_1,Northern Territory,0.001415338,2.81086E-05,AUS.8_1,South Australia,3.91316E-05,1.47865E-06
AUT,Crops,AUT.3_1,Niederösterreich,5.04332E-06,2.56437E-07,AUT.7_1,Tirol,0.003188154,2.32368E-05,AUT.3_1,Niederösterreich,5.04332E-06,2.56437E-07
AZE,Crops,AZE.2_1,Aran,1.31816E-06,1.85053E-07,AZE.7_1,Nakhchivan,0.000171295,5.9046E-05,AZE.2_1,Aran,1.31816E-06,1.85053E-07
BDI,Crops,BDI.4_1,Bururi,0.000613242,0.000158489,BDI.3_1,Bujumbura Rural,0.001178466,0.000281289,BDI.15_1,Ngozi,1.57036E-06,5.0852E-07
BEL,Crops,BEL.2_1,Vlaanderen,5.86158E-07,6.47445E-08,BEL.3_1,Wallonie,2.68875E-06,2.25753E-07,BEL.2_1,Vlaanderen,5.86158E-07,6.47445E-08
BEN,Crops,BEN.1_1,Alibori,6.58125E-06,7.23452E-07,BEN.6_1,Donga,5.3706E-05,1.02159E-05,BEN.7_1,Kouffo,2.10896E-06,6.50566E-07
BFA,Crops,BFA.1_1,Boucle du Mouhoun,3.58722E-07,3.89985E-08,BFA.12_1,Sahel,2.89354E-05,2.40246E-06,BFA.7_1,Centre,2.84778E-07,2.58478E-08
BGD,Crops,BGD.3_1,Dhaka,5.59128E-06,1.40197E-06,BGD.2_1,Chittagong,4.69191E-05,1.07633E-05,BGD.3_1,Dhaka,5.59128E-06,1.40197E-06
BGR,Crops,BGR.3_1,Dobrich,1.44492E-05,1.15463E-05,BGR.20_1,Smolyan,8.22147E-05,3.05253E-06,BGR.28_1,Yambol,1.02361E-06,4.46302E-08
BHS,Crops,BHS.32_1,West Grand Bahama,0.084739033,4.30179E-05,BHS.32_1,West Grand Bahama,0.084739033,4.30179E-05,BHS.21_1,New Providence,0.000374103,8.43427E-06
BIH,Crops,BIH.3_1,Repuplika Srpska,1.40353E-05,5.09759E-07,BIH.2_1,Federacija Bosna i Hercegovina,0.000181241,2.03595E-05,BIH.1_1,Brcko,2.52691E-06,1.96429E-07
