AlignmentOptionId,Organisation type,Priority for display
1,Finance sector - Banking,1
2,Finance sector - Banking,1
3,Finance sector - Banking,1
4,Finance sector - Banking,1
5,Finance sector - Banking,1
6,Finance sector - Banking,3
7,Finance sector - Banking,2
8,Finance sector - Banking,1
9,Finance sector - Banking,3
10,Finance sector - Banking,3
11,Finance sector - Banking,3
12,Finance sector - Banking,3
13,Finance sector - Banking,3
14,Finance sector - Banking,3
15,Finance sector - Banking,2
16,Finance sector - Banking,2
17,Finance sector - Banking,2
18,Finance sector - Banking,1
19,Finance sector - Banking,2
20,Finance sector - Banking,3
21,Finance sector - Banking,1
22,Finance sector - Banking,3
23,Finance sector - Banking,3
24,Finance sector - Banking,3
25,Finance sector - Banking,3
26,Finance sector - Banking,3
27,Finance sector - Banking,2
28,Finance sector - Banking,3
29,Finance sector - Banking,3
30,Finance sector - Banking,2
31,Finance sector - Banking,1
32,Finance sector - Banking,3
33,Finance sector - Banking,1
1,Finance sector - Investment,1
2,Finance sector - Investment,1
3,Finance sector - Investment,1
4,Finance sector - Investment,1
5,Finance sector - Investment,1
6,Finance sector - Investment,3
7,Finance sector - Investment,2
8,Finance sector - Investment,1
9,Finance sector - Investment,3
10,Finance sector - Investment,3
11,Finance sector - Investment,3
12,Finance sector - Investment,3
13,Finance sector - Investment,3
14,Finance sector - Investment,3
15,Finance sector - Investment,2
16,Finance sector - Investment,2
17,Finance sector - Investment,2
18,Finance sector - Investment,1
19,Finance sector - Investment,2
20,Finance sector - Investment,3
21,Finance sector - Investment,1
22,Finance sector - Investment,3
23,Finance sector - Investment,3
24,Finance sector - Investment,3
25,Finance sector - Investment,3
26,Finance sector - Investment,3
27,Finance sector - Investment,2
28,Finance sector - Investment,3
29,Finance sector - Investment,3
30,Finance sector - Investment,2
31,Finance sector - Investment,1
32,Finance sector - Investment,3
33,Finance sector - Investment,1
1,Finance sector - Insurance,1
2,Finance sector - Insurance,1
3,Finance sector - Insurance,1
4,Finance sector - Insurance,1
5,Finance sector - Insurance,3
6,Finance sector - Insurance,3
7,Finance sector - Insurance,2
8,Finance sector - Insurance,1
9,Finance sector - Insurance,3
10,Finance sector - Insurance,3
11,Finance sector - Insurance,3
12,Finance sector - Insurance,3
13,Finance sector - Insurance,3
14,Finance sector - Insurance,3
15,Finance sector - Insurance,2
16,Finance sector - Insurance,2
17,Finance sector - Insurance,2
18,Finance sector - Insurance,1
19,Finance sector - Insurance,2
20,Finance sector - Insurance,3
21,Finance sector - Insurance,1
22,Finance sector - Insurance,3
