Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Energía de origen animal ,Especies,Enfermedades,R,"Los vectores de enfermedades y los patógenos pueden impactar a todas las especies y causar cambios drásticos en la estructura de las comunidades, en la función y los servicios ecosistémicos de la biodiversidad y en la salud humana. Sin embargo, las respuestas individuales a las enfermedades varían según la especie. Una mayor conectividad de las poblaciones humanas mundiales ha aumentado la frecuencia y la magnitud de los brotes de enfermedades.","Los animales de tiro casi nunca se mantienen en manadas, con frecuencia se mantienen apartados de otros animales y muchas veces están en áreas remotas, sin embargo, pueden recorrer distancias considerables y congregarse en mercados locales. Cuando un animal muere en plena campaña agrícola es difícil pedir prestado o alquilar otro, porque la tracción animal tiene una gran demanda. Al final, una menor producción de trabajo puede reflejarse en una menor productividad agrícola.","La prestación del servicio disminuirá en animales infectados, por  ejemplo, el costo de bueyes de trabajo por causa de dermatofilosis bovina en Zambia fue de USD 193 por  buey afectado.",Variación natural ,Corto plazo ,Global
Energía de origen animal ,Especies ,Sequías ,A,Las especies son altamente sensibles a las sequías ya que la mayoría depende de los recursos hídricos para sobrevivir. Se ha observado que las sequías han aumentado en  frecuencia e intensidad durante los últimos 60 años y se espera que incrementen durante los próximos 100.,El cambio en la demanda del servicio sobre la base de cambio climático impacta en la disponibilidad del agua.,"La adaptabilidad de los animales a los cambios climáticos determinará la disponibilidad de la prestación del servicio. Los animales que se adaptan más rápidamente a los extremos climáticos, por ejemplo, a la aridez, mantendrán la prestación del servicio y se adaptarán mejor a áreas determinadas. Los animales ya resistentes a las sequías (especialmente los burros) son cada vez más apreciados en las áreas afectadas por sequías, áreas al sur, este y oeste de África. Aunque con el tiempo, los animales se adaptan al pastoreo y consumo de diferentes tipos de pastos y especies vegetales que dependen de la ubicación, clima y  disponibilidad.",Acción humana ,Largo plazo,Global
Biorremediación ,Hábitats                                                               ,Modificación del hábitat  ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.","Degradación de hábitats y pérdida de especies vegetales, por lo tanto, reducción en el número de plantas disponibles para realizar fitorremediación.",Menor habilidad de las plantas para realizar fitorremediación.,Acción humana ,Corto plazo ,Local
Biorremediación,Especies,Modificación del hábitat  ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de crecimiento, y aumentar el cambio de los eventos de extinción locales.","Degradación de hábitats y pérdida de especies vegetales, por lo tanto, reducción en el número de plantas disponibles para realizar fitorremediación.",Menor habilidad de las plantas para realizar fitorremediación.,Acción humana,Corto plazo,Local
Biorremediación,Especies,Especies invasoras ,A,"Las especies invasoras pueden desplazar a las especies indígenas, restructurando comunidades y causando cambios evolutivos. Las especies invasoras pueden, sin embargo, favorecer también a las especies nativas a través de la modificación de los hábitats (al actuar como ingenieros de hábitats), la polinización, la liberación de competidores y la liberación de depredadores.",Mayores poblaciones de erizos de mar lleva al sobrepastoreo de algas marinas,Menor biorremediación por algas marinas ,Acción humana,Mediano-largo plazo ,Global
Biorremediación ,Hábitats,Contaminación,A,"La contaminación puede causar cambios físicos y químicos en los hábitats, que reduce la capacidad de aprovisionamiento y, en consecuencia, impacta a las especies. Los hábitats tienen la capacidad de recuperarse de los impactos de la contaminación si no están tan sobrecargados con contaminantes irreversibles, siendo importantes tanto el tipo de contaminación como el nivel de carga. Algunos hábitats son más resilientes a los efectos de la contaminación ? la relación normalmente  está determinada por el contexto y depende del hábitat, pero también del tipo de contaminante.",Degradación de hábitats y reducción o interrupción de la capacidad de las especies de algas para realizar biorremediación.,Menor biorremediación debido a menor capacidad de algas de realizar biorremediación.,Acción humana ,Corto plazo ,Local
Biorremediación ,Especies,Contaminación ,A,"La contaminación es perjudicial para la salud de las especies. La deposición atmosférica de nitrógeno reactivo, por ejemplo, tiene el potencial de reducir la abundancia de especies vegetales, al favorecer especies mejor adaptadas a niveles altos de nutrientes. Los impactos de la contaminación sobre las especies varían por ubicación y otros parámetros externos.",Degradación de hábitats y reducción o interrupción de la capacidad de las especies de algas para realizar biorremediación.,Menor biorremediación debido a menor capacidad de algas de realizar biorremediación.,Acción humana ,Corto plazo,Local
Biorremediación ,Especies,Condiciones climáticas ,A,Los aumentos de temperatura y los eventos climáticos extremos producen impactos sobre los hábitats y sobre la composición de las especies. Se espera que las tendencias adversas continuarán con incrementos de temperaturas en los próximos 100 años.,"Mayor o menor disponibilidad de energía solar para las algas, lo que afecta la capacidad de especies de crecer, sobrevivir y llevar a cabo su función de biorremediación.","Mayor o menor biorremediación realizada por las algas. Esta variación ocurre de manera estacional o anual (por ejemplo, la radiación solar es menor en invierno o cuando la nubosidad es densa)",Variación natural ,Corto plazo,Global
Amortiguamiento y atenuación de los flujos de masa,Hábitats,Sequías,R,"Los hábitats son altamente susceptibles a las sequías, ya que los desbalances hídricos aumentan la probabilidad de enfermedades, incendios, erosión eólica, infestación por insectos y pérdidas en la productividad vegetal. Las sequías se han vuelto más intensas  y frecuentes en los últimos 50 años y se proyecta que esta tendencia seguirá durante los próximos 100 años, lo que aumentará las presiones negativas sobre los hábitats.",Dañan la vegetación protectora.,Cubierta vegetal deficiente. Dañan la  vegetación protectora.,Acción humana ,Corto plazo,Local
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos,Sequías,A,"Las sequías pueden tener un alto impacto sobre la salud del suelo, al reducir la fertilidad, producir cambios en el balance hídrico, balance nutricional, comunidad biótica, materia orgánica del suelo y demás propiedades biológicas y químicas. También alteran las características físicas del suelo, tales como la compactación, la erosionabilidad y la estabilidad. Estos impactos dependen de las condiciones del suelo y la duración de las sequías; donde ambas son altamente variables.",Dañan la vegetación protectora.,Cubierta vegetal deficiente. Dañan la vegetación protectora.,Acción humana,Corto plazo,Local
