Country,ISO 3,Region,Include for agriculture
Aruba,ABW,Caribbean,0
Afghanistan,AFG,South Asia,1
Angola,AGO,Southern Africa,1
Anguilla,AIA,Caribbean,0
Åland Islands,ALA,Region Not Applicable,0
Albania,ALB,Central and Western Europe,1
Andorra,AND,Central and Western Europe,1
United Arab Emirates,ARE,Western Asia,1
Argentina,ARG,South America,1
Armenia,ARM,Eastern Europe,1
American Samoa,ASM,Oceania,0
Terres australes et antarctiques françaises,ATF,East Africa and adjacent islands,0
Antigua and Barbuda,ATG,Caribbean,1
Australia,AUS,Oceania,1
Austria,AUT,Central and Western Europe,1
Azerbaijan,AZE,Eastern Europe,1
Burundi,BDI,Central Africa,1
Belgium,BEL,Central and Western Europe,1
Benin,BEN,West Africa,1
"Bonaire, Sint Eustatius, and Saba",BES,Caribbean,0
Burkina Faso,BFA,West Africa,1
Bangladesh,BGD,South Asia,1
Bulgaria,BGR,Central and Western Europe,1
Bahrain,BHR,Western Asia,1
Bahamas,BHS,Caribbean,1
Bosnia and Herzegovina,BIH,Central and Western Europe,1
Saint Barthélemy,BLM,Caribbean,0
Belarus,BLR,Eastern Europe,1
Belize,BLZ,Mesoamerica,1
Bermuda,BMU,Caribbean,0
Bolivia (Plurinational State of),BOL,South America,1
Brazil,BRA,South America,1
Barbados,BRB,Caribbean,1
Brunei Darussalam,BRN,South-East Asia,1
Bhutan,BTN,South Asia,1
Bouvet Island,BVT,Region Not Applicable,0
Botswana,BWA,Southern Africa,1
Central African Republic,CAF,Central Africa,1
Canada,CAN,North America,1
Cocos (Keeling) Islands,CCK,South-East Asia,0
Switzerland,CHE,Central and Western Europe,1
Chile,CHL,South America,1
China,CHN,North-East Asia,1
Côte D'Ivoire,CIV,West Africa,1
Cameroon,CMR,Central Africa,1
Democratic Republic of Congo,COD,Central Africa,1
Congo,COG,Central Africa,1
Cook Islands,COK,Oceania,1
Colombia,COL,South America,1
Comoros,COM,East Africa and adjacent islands,1
Cabo Verde,CPV,West Africa,1
Costa Rica,CRI,Mesoamerica,1
Cuba,CUB,Caribbean,1
Curaçao,CUW,Caribbean,0
Christmas Island,CXR,South-East Asia,0
Cayman Islands,CYM,Caribbean,0
Cyprus,CYP,Central and Western Europe,1
Czech Republic,CZE,Central and Western Europe,1
Germany,DEU,Central and Western Europe,1
Djibouti,DJI,East Africa and adjacent islands,1
Dominica,DMA,Caribbean,1
Denmark,DNK,Central and Western Europe,1
Dominican Republic,DOM,Caribbean,1
Algeria,DZA,North Africa,1
Ecuador,ECU,South America,1
Egypt,EGY,North Africa,1
Eritrea,ERI,East Africa and adjacent islands,1
Western Sahara,ESH,North Africa,0
Spain,ESP,Central and Western Europe,1
Estonia,EST,Central and Western Europe,1
Ethiopia,ETH,East Africa and adjacent islands,1
Finland,FIN,Central and Western Europe,1
Fiji,FJI,Oceania,1
Falkland Islands (Malvinas),FLK,South America,0
France,FRA,Central and Western Europe,1
Faroe Islands,FRO,Central and Western Europe,1
Federated States of Micronesia,FSM,Oceania,1
Gabon,GAB,Central Africa,1
United Kingdom of Great Britain and Northern Ireland,GBR,Central and Western Europe,1
Georgia,GEO,Eastern Europe,1
Guernsey,GGY,Central and Western Europe,0
Ghana,GHA,West Africa,1
Gibraltar,GIB,Central and Western Europe,0
Guinea,GIN,West Africa,1
Guadeloupe,GLP,Caribbean,0
Gambia,GMB,West Africa,1
Guinea-Bissau,GNB,West Africa,1
Equatorial Guinea,GNQ,Central Africa,1
Greece,GRC,Central and Western Europe,1
Grenada,GRD,Caribbean,1
Greenland,GRL,Central and Western Europe,0
Guatemala,GTM,Mesoamerica,1
French Guyana,GUF,South America,0
Guam,GUM,Oceania,0
Guyana,GUY,South America,1
Hong Kong,HKG,North-East Asia,0
Heard Island and McDonald Islands,HMD,Region Not Applicable,0
