Ecosystem Service,Description,Category,Category Description,URL
Energía de origen animal ,"Trabajo físico realizado por especies domesticadas o comerciales, incluyendo bueyes, caballos, burros, cabras y elefantes. Estos pueden agruparse como animales de tiro, animales de carga y monta. ",Insumo físico directo ,Servicios ecosistémicos que son un insumo físico directo en un proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Animal-based+energy-ESP.pdf
Biorremediación,"La biorremediación es un proceso natural por medio del cual los organismos vivos, como los microorganismos, las plantas, las algas y algunos animales degradan, reducen y/o eliminan la toxicidad de los contaminantes. ",Mitigación de impactos directos ,"Servicios ecosistémicos que ayudan a mitigar el impacto directo asociado con un proceso de producción (por ejemplo desechos, emisiones, ruido).",https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Bio-remediation-ESP.pdf
Amortiguamiento y atenuación de flujos de masa,"El amortiguamiento y atenuación de flujos de masa permite el transporte y almacenamiento de sedimentos por ríos, lagos y mares. ",Protección contra perturbaciones ,Servicios ecosistémicos que brindan protección contra perturbaciones en el proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Buffering+and+attenuation+of+mass+flows-ESP.pdf
Regulación climática ,"La regulación climática global se obtiene a través de la naturaleza mediante el almacenamiento a largo plazo de dióxido de carbono en suelos, biomasa vegetal, y los océanos. A nivel regional, el clima está regulado por las corrientes y vientos oceánicos mientras que, a nivel local y micro, la vegetación puede modificar las temperaturas, la humedad y las velocidades del viento.",Protección contra perturbaciones ,Servicios ecosistémicos que brindan protección contra perturbaciones del proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Climate+regulation-ESP.pdf
Dilución por la atmósfera y los ecosistemas ,"El agua, tanto fresca como salina, y la atmósfera pueden diluir los gases, los líquidos y los desechos sólidos producidos por la actividad humana.",Mitigación de impactos directos ,"Servicios ecosistémicos que ayudan a mitigar los impactos directos asociados a un proceso de producción (por ejemplo desechos, emisiones, ruidos).",https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Dilution+by+atmosphere+and+ecosystems-ESP.pdf
Control de enfermedades ,Los ecosistemas desempeñan papeles importantes en la regulación de enfermedades tanto en poblaciones humanas como de la flora y fauna silvestre y doméstica ,Protección contra perturbaciones ,Servicios ecosistémicos que brindan protección contra perturbaciones del proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Disease+control-ESP.pdf
Fibras y otros materiales ,"Las fibras y otros materiales de plantas, algas y animales se usan o procesan directamente para una variedad de fines. Esto incluye madera y fibras que no reciben mayor procesamiento, así como materiales para la producción como la celulosa, el algodón los tintes, material proveniente de plantas, animales y algas para uso en forraje y fertilizantes. ",Insumo físico directo ,Servicios ecosistémicos que son un insumo físico directo en un proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Fibres+and+other+materials-ESP.pdf
Filtración,"La filtración, secuestro, almacenamiento y acumulación de contaminantes son realizados por una serie de organismos como algas, animales, microorganismos y plantas vasculares y no vasculares. ",Mitigación de impactos directos ,"Servicios ecosistémicos que ayudan a mitigar los impactos directos asociados a un proceso de producción (por ejemplo desechos, emisiones, ruidos).",https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Filtration-ESP.pdf
Protección contra inundaciones y tormentas ,"La protección contra inundaciones y tormentas se obtiene a través de los efectos de refugio, amortiguamiento y atenuación de la vegetación natural y plantada. ",Protección contra perturbaciones ,Servicios ecosistémicos que brindan protección contra perturbaciones del proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Flood+and+storm+protection-ESP.pdf
Materiales genéticos ,"El material genético corresponde al ácido desoxirribonucleico (ADN) y toda la biota incluyendo plantas, animales y algas. ",Insumo físico directo ,Servicios ecosistémicos que son un insumo físico directo en un proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Genetic+materials-ESP.pdf
Agua subterránea ,"El agua subterránea es agua almacenada bajo tierra en acuíferos formados de rocas, suelos y arena permeables. El agua que contribuye a las fuentes de agua subterráneas es producto de las precipitaciones, nieve derretida y flujos de fuentes naturales de agua dulce. ",Insumo físico directo ,Servicios ecosistémicos que son un insumo directo físico en un proceso de producción.,https://s3.eu-west-2.amazonaws.com/ncfa.documents/es/ES+factsheet+-+Ground+water-ESP.pdf
