Impact Driver,Description
Uso de agua,"Los ejemplos incluyen el volumen de agua subterránea consumido, volumen de agua de superficie consumido, etc."
Uso de ecosistema terrestre,"Los ejemplos incluyen área de agricultura por tipo, área de plantación forestal por tipo, área de mina a cielo abierto por tipo, etc."
Uso de ecosistema de agua dulce,"Los ejemplos incluyen zonas de humedales, estanques, lagos, arroyos, ríos o turberas necesarias para proporcionar servicios de los ecosistemas como la purificación del agua, el desove de peces, las zonas de infraestructura necesarias para utilizar los ríos y los lagos como puentes, presas y barreras contra las inundaciones, etc."
Uso de ecosistema marino,"Los ejemplos incluyen el área de acuicultura por tipo, el área de minería del lecho marino por tipo, etc."
Uso de otros recursos,"Los ejemplos incluyen volumen de mineral extraído, volumen de captura de peces silvestres por especie, número de mamíferos silvestres por especie, etc."
Emisiones de GEI,"Los ejemplos incluyen el volumen de dióxido de carbono (CO2), metano (CH4), óxido nitroso (N2O), hexafluoruro de azufre (SF6), hidrofluorocarbonos (HFC) y perfluorocarbonos (PFC), etc."
Contaminantes atmosféricos no GEI,"Los ejemplos incluyen el volumen de material particulado fino (PM2,5) y grueso (PM10), compuestos orgánicos volátiles (COV), óxidos de mononitrógeno (NO y NO2, comúnmente conocidos como NOx), dióxido de azufre (SO2), monóxido de carbono (CO), etc."
Contaminantes del agua," Los ejemplos incluyen el volumen descargado a la masa de agua receptora de nutrientes (por ejemplo, nitratos y fosfatos) u otras sustancias (por ejemplo, metales pesados y productos químicos)."
Contaminantes del suelo,Los ejemplos incluyen el volumen de residuos descargados y retenidos en el suelo durante un período determinado.
Residuos sólidos," Los ejemplos incluyen el volumen de desechos por clasificación (es decir, no peligrosos, peligrosos y radiactivos), por componentes de materiales específicos (por ejemplo, plomo, plástico) o por método de eliminación (por ejemplo, relleno sanitario, incineración, reciclaje, procesamiento especializado)."
Perturbaciones,"Los ejemplos incluyen los decibeles y la duración del ruido, los lúmenes y la duración de la luz, en el lugar del impacto."
