ProductionProcess,ImpactDriver,RAG,Justification
Airport services,Disturbances,H,"Light pollution from airport structures and roads can affect migration patterns, directly or indirectly, attracting animals to light, and altering hibernation, sleeping and feeding patterns. Noise pollution can occur from movement of aircrafts, airport ground operations and access roads. Additionally, birds may be struck during take-off and landing, which leads to direct mortality and population changes."
Airport services,GHG emissions,H,"Many air pollutants released from aviation are greenhouse gases (e.g. nitrogen oxides, sulphur dioxides)"
Airport services,Non-GHG air pollutants,H,"Airports and aviation activities generate air pollution (e.g. emission of carbon monoxide, particulate matter, volatile organic compounds, and hydrocarbons). Air pollution can result from: fuel combustion, unburnt kerosene released when engines work ineffectively on approach, particulate matter released from aircraft tyres as they get worn and burnt during take-off, fuel dumping by aircraft, emissions from airport vehicles and ground service equipment, and VOCs released by fuel storage tanks."
Airport services,Soil pollutants,H,"Soil pollution can occur due to run-off of wastewater and contaminated water from operational procedures, spillage of de-icing agents, maintenance and painting chemicals, testing for fire equipment and fuel leakage and spillage from refuelling and storage."
Airport services,Solid waste,H,"Office buildings associated with service provision create large volumes of solid waste, which contributes to municipal solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather. This can lead to habitat degradation from disposal of litter or land contamination."
Airport services,Water pollutants,H,"Water pollution can occur due to run-off of wastewater and contaminated water from operational procedures, spillage of de-icing agents, maintenance and painting chemicals, testing for fire equipment and fuel leakage and spillage from refuelling and storage."
Airport services,Water use,H,In extreme cases water abstraction for operations can reduce local water supplies. When this coincides with adverse weather conditions this can significantly increase the risk of drought.
Alcoholic fermentation and distilling,GHG emissions,H,"Greenhouse gases such as CO2, nitrous oxide, and sulphur dioxide are emitted from production processes contribute to atmospheric pollution."
Alcoholic fermentation and distilling,Other resource use,M,The use of isinglass in the beer clarification process can lead to overfishing due to the fact that the substance is derived from the swim bladders of tropical fish species.
Alcoholic fermentation and distilling,Soil pollutants,H,"Wastewater, recyclable and non-recyclable solid wastes, and hazardous wastes (e.g. chemicals) can degrade soil quality."
Alcoholic fermentation and distilling,Solid waste,H,"Recyclable and non-recyclable solid wastes (e.g. packaging, spent grains and hops, yeast, diatomaceous earth, solid waste from distilling), and hazardous wastes (e.g. chemicals) can lead to increased environmental pollution."
Alcoholic fermentation and distilling,Water pollutants,H,"Wastewater, recyclable and non-recyclable solid wastes, and hazardous wastes (e.g. chemicals) can also lead to increased environmental pollution."
Alcoholic fermentation and distilling,Water use,H,"Fermentation and distilling requires substantial volumes of water, leading to increased water abstraction. For example, it is estimated that between 4 to 10 litres of water are required to produce 1 litre of beer; 12 litres of water are required to distil 1 litre of whisky; and 3 litres of water are required to produce 1 litre of wine."
Alumina refining,GHG emissions,H,Large volumes of solid waste are produced during alumina refining processes.
Alumina refining,Soil pollutants,H,"Alumina refining often uses coal to produce energy used in the production process, which leads to higher levels of carbon emissions. Additionally, high levels of carbon and other greenhouse gases are emitted from the machinery used in extraction, which contributes to atmospheric pollution."
Alumina refining,Solid waste,H,"Tailings contain high levels of metal oxides that are harmful to soil and water systems. Additionally, toxic materials leached from tailings storage can modify biogenic habitats."
Alumina refining,Water pollutants,H,"Tailings contain high levels of metal oxides that are harmful to soil and water systems. Additionally, toxic materials leached from tailings storage can modify biogenic habitats."
Alumina refining,Water use,VH,"Large volumes of water are abstracted from local water bodies for the chemical extraction processes and for washing tailings to recover caustic soda for reuse. Most water is used in flotation beneficiation, smelting, and electrorefining. Water extraction for refining can reduce local water supplies, when this coincides with adverse weather conditions this can significantly increase the risk of drought."
Aquaculture,Freshwater ecosystem use,VH,Creation of ponds or reservoirs to enable aquaculture can lead to major negative impacts on freshwater habitats (e.g. habitat degradation or clearing).
Aquaculture,Marine ecosystem use,H,Creation of ponds or reservoirs to enable aquaculture can lead to major negative impacts on coastal and marine habitats (e.g. habitat degradation or clearing).
Aquaculture,Soil pollutants,H,"Aquaculture practices, in particular fish farming, use large quantities of nutrients, which leach into adjacent soils, leading to increased pollution. Salt water intrusion can also occur."
Aquaculture,Water pollutants,H,"Aquaculture practices, in particular fish farming, use large quantities of nutrients, which leach into adjacent water bodies, leading to increased pollution. Salt water intrusion can also occur."
Biomass energy production,GHG emissions,H,Biomass energy production through direct combustion (burning) results in emissions of greenhouse gases.
Biomass energy production,Non-GHG air pollutants,H,Biomass energy production through direct combustion (burning) results in emissions of air pollutants.
Biomass energy production,Solid waste,H,Biomass energy production through direct combustion (burning) results in solid waste production (e.g. ash).
Biomass energy production,Water pollutants,H,Biomass energy production through direct combustion (burning) results in water pollution due to emissions of suspended solids and trace metals in wastewater.
