ProductionProcess,ImpactDriver,Justification
Servicios aeroportuarios,Uso de agua,"En casos extremos, la extracción de agua para las operaciones puede reducir los suministros de agua a nivel local. Cuando esto coincide con condiciones climáticas adversas esto puede aumentar significativamente el riesgo de sequía."
Servicios aeroportuarios,Emisiones de GEI,"Muchos contaminantes atmosféricos liberados durante actividades de aviación son gases de efecto invernadero (por ejemplo, óxidos de nitrógeno, dióxidos de azufre)"
Servicios aeroportuarios,Contaminantes atmosféricos no GEI,"Los aeropuertos y las actividades de la aviación generan contaminación atmosférica (por ejemplo, emisión de monóxido de carbono, material particulado, compuestos orgánicos volátiles e hidrocarburos). La contaminación atmosférica puede ser el resultado de: la utilización de combustible, del kerosene no quemado que se libera cuando los motores funcionan de manera ineficaz en la aproximación, del material particulado liberado por los neumáticos de los aviones al desgastarse y quemarse durante el despegue, del vertido de combustible de los aviones, de las emisiones de los vehículos de los aeropuertos y del equipo de servicio en tierra, y de los COV liberados por los tanques de almacenamiento de combustible."
Servicios aeroportuarios,Contaminantes del agua,"La contaminación del agua puede producirse debido a la escorrentía de aguas residuales y al agua contaminada de los procedimientos operativos, al derrame de agentes descongelantes, a los productos químicos de mantenimiento y pintura, a las pruebas de equipos contra incendios y a las fugas y derrames de combustible al momento de reabastecerse del mismo o almacenarlo."
Servicios aeroportuarios,Contaminantes del suelo,"La contaminación del agua puede producirse debido a la escorrentía de aguas residuales y al agua contaminada de los procedimientos operativos, al derrame de agentes descongelantes, a los productos químicos de mantenimiento y pintura, a las pruebas de equipos contra incendios y a las fugas y derrames de combustible al momento de reabastecerse del mismo o almacenarlo."
Servicios aeroportuarios,Residuos sólidos,"Los edificios de oficinas asociados a la prestación de servicios crean grandes volúmenes de residuos sólidos, lo que contribuye a la acumulación de residuos sólidos municipales. Los tipos exactos de residuos sólidos producidos variarán, pero pueden incluir productos no derivados como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. Esto puede conducir a la degradación del hábitat por la eliminación de la basura o la contaminación del suelo."
Servicios aeroportuarios,Perturbaciones,"La contaminación lumínica de las estructuras de los aeropuertos y las carreteras puede afectar los patrones de migración, directa o indirectamente, atrayendo a los animales hacia la luz y alterando sus patrones de hibernación, sueño y alimentación. La contaminación acústica puede producirse por el movimiento de aeronaves, las operaciones de los aeropuertos en tierra y en vías de acceso. Además, las aves podrían ser golpeadas durante el despegue y el aterrizaje, lo que provoca una mortalidad directa y cambios en la población."
Fermentación alcohólica y destilería,Uso de agua,"La fermentación y la destilación requieren volúmenes sustanciales de agua, lo que conduce a una mayor extracción de agua. Por ejemplo, se estima que se necesitan entre 4 y 10 litros de agua para producir 1 litro de cerveza, 12 litros de agua para destilar 1 litro de whisky y 3 litros de agua para producir 1 litro de vino."
Fermentación alcohólica y destilería,Uso de otros recursos,El uso de cola de pescado en el proceso de clarificación de la cerveza puede conducir a la sobrepesca debido a que la sustancia se deriva de las vejigas natatorias de especies de peces tropicales.
Fermentación alcohólica y destilería,Emisiones de GEI,"Los gases de efecto invernadero como el CO2, el óxido nitroso y el dióxido de azufre que se emiten en los procesos de producción contribuyen a la contaminación atmosférica."
