Process,Ecosystem Service,RAG,Justification
Servicios aeroportuarios,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Servicios aeroportuarios,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Servicios aeroportuarios,Agua superficial,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Servicios aeroportuarios,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Servicios aeroportuarios,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Fermentación y destilación de alcohol,Agua subterránea,VH,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Fermentación y destilación de alcohol,Agua superficial,VH,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Fermentación y destilación de alcohol,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Fermentación y destilación de alcohol,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Fermentación y destilación de alcohol,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Fermentación y destilación de alcohol,Materiales genéticos,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Fermentación y destilación de alcohol,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Fermentación y destilación de alcohol,Calidad del agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Fermentación y destilación de alcohol,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Fermentación y destilación de alcohol,Calidad del suelo,M,"El proceso de producción no depende del servicio ecosistémico en sí mismo, sino de otros procesos de producción (por ejemplo, la agricultura)"
Refinado de alúmina,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Refinado de alúmina,Agua superficial,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Refinado de alúmina,Mantenimiento del flujo de agua,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Refinado de alúmina,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Refinado de alúmina,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Acuicultura,Control de plagas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Acuicultura,Control de enfermedades,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Acuicultura,Ventilación,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Acuicultura,Mantenimiento del flujo de agua,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción
Acuicultura,Estabilización de masa y control de la erosión,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Acuicultura,Calidad del agua,H,"El servicio ecosistémico es crítico e irremplazable en el proceso de producción. El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Acuicultura,Fibras y otros materiales,VH,"El servicio ecosistémico es crítico e irremplazable en el proceso de producción. El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Acuicultura,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Acuicultura,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Acuicultura,Materiales genéticos,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Acuicultura,Agua subterránea,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Acuicultura,Calidad del suelo,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Acuicultura,Amortiguamiento y atenuación de los flujos de masa,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Acuicultura,Biorremediación,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Acuicultura,Dilución por la atmósfera y los ecosistemas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Acuicultura,Mantenimiento de hábitats de reproducción,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico. A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos."
Acuicultura,Regulación climática,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Acuicultura,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de energía de biomasa,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de energía de biomasa,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de energía de biomasa,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de energía de biomasa,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de energía de biomasa,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de energía de biomasa,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de energía de biomasa,Fibras y otros materiales,VH ,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de energía de biomasa,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
