Table,Title,Criterion,Definition,RED,AMBER,GREEN,Example,Use case for risk management
1,Criterios sobre la importancia de los activos de capital natural con respecto a la prestación de servicios ecosistémicos,Naturaleza,Naturaleza de la relación entre el activo de capital natural y la prestación del servicio,No lineal,Lineal,N/A,Relación lineal entre el agua superficial como un activo de capital natural y el suministro de agua superficial como un servicio. [1],La forma funcional ayuda a determinar los modelos de gestión de riesgo a utilizar para la cuantificación de la exposición al riesgo del capital natural
1,Criterios sobre la importancia de los activos de capital natural con respecto a la prestación de servicios ecosistémicos,Susceptibilidad,Sensibilidad del servicio ecosistémico a un cambio en el estado del activo de capital natural,Alta susceptibilidad,Susceptibilidad media,Baja susceptibilidad,"El Salvador ha perdido el 2.6% de prestación de servicios ecosistémcos, especialmente polinización, como consecuencia del reemplazo del 12% de paisajes naturales en sistemas agroproductivos y áreas urbanas. [2]",Esencial para determinar la forma de la relación entre el servicio ecosistémico y los activos de capital natural.
1,Criterios sobre la importancia de los activos de capital natural con respecto a la prestación de servicios ecosistémicos,Reversibilidad,Posibilidad de que el impacto de un cambio en un activo de capital natural cause un retroceso en la prestación del servicio ecosistémico (sujeto a factibilidad),No reversible a escala temporal humana,Impacto reversible mediante restauración activa a largo plazo (> 1 año),"Impacto reversible de manera natural, a corto plazo (<1 año)",La restauración exitosa de manglares con vistas a la protección contra tormentas e inundaciones es factible en menos de 20 años. [3],Permite la identificación de tendencias irreversibles que requerirían más análisis en la etapa de evaluación rápida
1,Criterios sobre la importancia de los activos de capital natural con respecto a la prestación de servicios ecosistémicos,Sustituibilidad ,Grado de dependencia del servicio ecosistémico respecto al activo de capital natural,Único activo capaz de proporcionar el servicio O activo altamente específico,Uno de los pocos activos capaz de prestar el servicio o un activo de apoyo,Uno de los muchos activos capaces de prestar el servicio ,"Pueden utilizarse varios activos de capital natural, incluyendo especies de hongos, algas y bacterias, para el tratamiento de metales pesados en aguas residuales industriales. [4]","Indica la existencia de no linealidad en la prestación del servicio ecostsémico, en términos de un activo de capital natural clave que no es sustituible"
1,Criterios sobre la importancia de los activos de capital natural con respecto a la prestación de servicios ecosistémicos,Incertidumbre,Grado de incertidumbre en la relación entre el activo de capital natural y la prestación del servicio,Alta incertidumbre,Incertidumbre media,Baja incertidumbre ,"La relación entre especies, hábitats y minerales y la prestación de procesos de descomposición para el saneamiento de suelos a menudo no está clara. [5]","Los casos con alta sensibilidad, baja reversibilidad y sustituibilidad, y alta incertidumbre deben priorizarse para un análisis de la relación más detallado "
2,Criterios sobre la influencia de los factores de cambio ambiental sobre los activos de capital natural,Naturaleza,Naturaleza de la relación entre el activo de capital natural y el generador del cambio.,No lineal,Lineal,N/A,La agricultura intensiva tiene un impacto directo y lineal en los hábitats. [6],Captura de manera general la forma funcional que describe la relación entre el activo y el generador
2,Criterios sobre la influencia de los factores de cambio ambiental sobre los activos de capital natural,Tendencia,Dirección y marco temporal del cambio en el activo,Se espera que la situación empeore a corto plazo (<1 año),Se espera que la situación empeore a largo plazo (> 1 año),Se espera que la situación se mantenga constante,"Los círculos de retroalimentación pueden modificar las tendencias de los activos independientemente de los cgeneradores, por ejemplo, la fusión del permafrost debido al cambio climático puede provocar la descomposición del carbono orgánico y la liberación de gases de efecto invernadero. [7]",Captura cambios en la media de la distribución y proporciona una línea de base para el activo
2,Criterios sobre la influencia de los factores de cambio ambiental sobre los activos de capital natural,Susceptibilidad,Grado en que el activo de capital natural es susceptible al generador del cambio.,Alta susceptibilidad,Susceptibilidad media,Baja susceptibilidad,"Las especies polinizadoras son altamente susceptibles a los generadores de cambio de origen antrópico, por ejemplo, la agricultura intensiva conlleva pérdida de las especies polinizadoras y la interrupción de sus actividades diarias. [8]","Útil para calcular el riesgo para los activos de capital natural, es decir, la pérdida máxima que puede esperarse"
2,Criterios sobre la influencia de los factores de cambio ambiental sobre los activos de capital natural,Variabilidad,Grado de variabilidad en la respuesta del activo de capital natural al generador de cambio.,Alta variabilidad,Baja variabilidad,Estable (sin variabilidad),Las especies varían mucho en su respuesta a las condiciones meteorológicas y al cambio climático [9],"Captura la varianza en las respuestas, es decir, mide el grado de variabilidad entre éstas"
2,Criterios sobre la influencia de los factores de cambio ambiental sobre los activos de capital natural,Incertidumbre,Grado de incertidumbre en la relación entre el activo de capital natural y el generador de cambio,Alta incertidumbre,Incertidumbre media,Baja incertidumbre ,"La relación entre los volcanes como generadores de cambio y los hábitats es incierta, especialmente en relación a la proximidad a la cual los volcanes pueden impactar ciertos hábitats. [10]","Los casos con alta susceptibilidad, variabilidad e incertidumbre deben priorizarse para un análisis de la relación más detallado"
3,Criterios contextuales para los generadores de cambio en los activos de capital natural o la prestación de servicios ecosistémicos ,Tendencia,Dirección y marco temporal del cambio en el generador,Se estima que la situación empeore a corto plazo (<1 año),Se espera que la situación empeore a largo plazo (> 1 año),Se espera que la situación se mantenga constante,"La pérdida y fragmentación de hábitat ya es una amenaza importante, y lo seguirá en el futuro. [11]",Captura cambios en la media de la distribución.
3,Criterios contextuales para los generadores de cambio en los activos de capital natural o la prestación de servicios ecosistémicos ,Variabilidad,Grado de variabilidad del generador de cambio a lo largo del tiempo,Alta variabilidad,Baja variabilidad,Estable (sin variabilidad),La extensión y duración de los incendios forestales en los ecosistemas de tundra varía mucho en tiempo y espacio. [12],"Captura la varianza en las respuestas, es decir, mide el grado de variabilidad entre éstas"
3,Criterios contextuales para los generadores de cambio en los activos de capital natural o la prestación de servicios ecosistémicos ,Eventos extremos,Probabilidad de variaciones extremas en el generador de cambio,Alta probabilidad de un cambio drástico ,"Baja, pero no nula, probabilidad de un cambio drástico","Muy baja, casi imposible, probabilidad de cambio drástico",Se han registrado cambios importantes en la población de especies unguladas de la sabana africana debido a las sequías a corto plazo y los impactos del cambio climático a largo plazo. [13],Ayuda a captar la noción de no linealidad y señala cuando un enfoque para enfrentar desviaciones extremas puede ser apropiado
3,Criterios contextuales para los generadores de cambio en los activos de capital natural o la prestación de servicios ecosistémicos ,Predictabilidad 1,Existencia de modelos / datos históricos para predecir el estado futuro del generador de cambio,No,N/A,Sí,"Los modelos de aumento del nivel del mar pueden proyectar con precisión el nivel del mar futuro en base a la relación estadística entre la respuesta física del agua al calentamiento, el clima y observaciones anteriores. [14]",Indica la potencia de predicción para el generador
3,Criterios contextuales para los generadores de cambio en los activos de capital natural o la prestación de servicios ecosistémicos ,Predictabilidad 2,Credibilidad de los modelos / datos para predecir el estado futuro del generador de cambio.,Modelos no calibrados independientemente ,Los modelos se calibran por comparación con conjuntos de datos modelados,Modelos calibrados con conjuntos de datos empíricos/observados independientes,"Los modelos de aumento del nivel del mar pueden proyectar con precisión el nivel del mar futuro en base a la relación estadística entre la respuesta física del agua al calentamiento, el clima y observaciones anteriores. [14]",Indica la potencia de predicción para el generador
3,Criterios contextuales para los generadores de cambio en los activos de capital natural o la prestación de servicios ecosistémicos ,Incertidumbre,Grado de incertidumbre en el generador de cambio.,Alta incertidumbre,Incertidumbre media,Baja incertidumbre ,"Los eventos volcánicos llevan asociados a menudo una gran incertidumbre, especialmente en relación a la proximidad a la cual éstos eventos pueden impactar al capital natural. [15]","Los casos con alta variabilidad, incertidumbre y probabilidad de eventos extremos deben ser priorizados."
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Modelos calibrados con conjuntos de datos empíricos/observados independientes,,,,,
