mine_id,country_code,mineral,star_all_threats,star_mining_threats,ecological_integrity_risk,external_id,ecoregion_name,ecoregion_category,administrative_boundary_id,administrative_boundary_name
64665,BRA,Coal,21.47196513,0.252811244,46214.52631,500,Serra do Mar coastal forests,E,BRA.24_1,Santa Catarina
69163,UKR,Coal,0.013587471,0,49129.57767,735,Pontic steppe,E,UKR.6_1,Donets'k
69188,UKR,Coal,0.013894132,0,43281.56554,735,Pontic steppe,E,UKR.15_1,Luhans'k
69965,UKR,Coal,0.008807411,0,41845.68973,735,Pontic steppe,E,UKR.6_1,Donets'k
34073,KAZ,Copper,0.243002171,0,37079.4683,732,Kazakh steppe,E,KAZ.3_1,Aqtöbe
69071,UKR,Coal,0.034496903,0,49405.17058,735,Pontic steppe,E,UKR.15_1,Luhans'k
69140,UKR,Coal,0.015588247,0,40163.94847,735,Pontic steppe,E,UKR.6_1,Donets'k
31725,CHN,Diamonds,0.1857033,5.29829E-05,56868.42962,667,Huang He Plain mixed forests,C,CHN.23_1,Shandong
66217,RUS,Coal,0.049013115,0.000313059,35664.07105,738,South Siberian forest steppe,A,RUS.27_1,Kemerovo
51320,USA,Coal,3.074110262,0.31764741,46539.76212,329,Appalachian mixed mesophytic forests,C,USA.47_1,Virginia
68421,USA,Coal,3.265355712,0.322833161,52065.81729,329,Appalachian mixed mesophytic forests,C,USA.47_1,Virginia
68597,USA,Coal,2.427995415,0.237010207,40991.80767,329,Appalachian mixed mesophytic forests,C,USA.47_1,Virginia
68422,USA,Coal,5.309780069,0.460438169,78854.72313,329,Appalachian mixed mesophytic forests,C,USA.47_1,Virginia
41336,USA,Coal,0.424043679,0.026079288,45640.79066,387,Central US forest-grasslands transition,C,USA.14_1,Illinois
26388,AUS,Gold,70.16654968,2.241316974,45229.20031,168,Eastern Australian temperate forests,E,AUS.10_1,Victoria
40079,IDN,Coal,1.972022175,0.007910097,59700.92373,281,Sundaland heath forests,E,IDN.15_1,Kalimantan Timur
82144,CHN,Iron Ore,0.081411698,0.001148907,34303.1522,690,Altai montane forest and forest steppe,E,CHN.28_1,Xinjiang Uygur
37802,KAZ,Coal,0.348699973,0.001155384,51942.97117,732,Kazakh steppe,E,KAZ.9_1,Qaraghandy
33002,RUS,Iron Ore,0.167788048,0,33747.67079,707,Sayan montane conifer forests,A,RUS.29_1,Khakass
69371,RUS,Coal,0.180554931,0,34029.62387,738,South Siberian forest steppe,A,RUS.29_1,Khakass
69064,UKR,Coal,0.014603035,0,39368.39175,735,Pontic steppe,E,UKR.6_1,Donets'k
49660,RUS,Coal,0.045917672,0.001584093,24149.57255,710,East Siberian taiga,A,RUS.35_1,Krasnoyarsk
69173,RUS,Coal,0.104150141,5.98093E-05,51568.95452,687,Western Siberian hemiboreal forests,C,RUS.27_1,Kemerovo
41645,IND,Coal,1.629200702,0.019856554,45661.53023,228,East Deccan moist deciduous forests,E,IND.32_1,Telangana
68594,USA,Coal,0.679081661,0,34110.03327,429,Colorado Plateau shrublands,E,USA.45_1,Utah
26798,SDN,Gold,0.049365359,0,21465.16233,842,South Sahara desert,E,SDN.11_1,Red Sea
38796,GBR,Coal,0.128489673,0,46376.81359,651,Celtic broadleaf forests,C,GBR.4_1,Wales
50003,IDN,Coal,0.235648854,0.002212506,37119.67853,281,Sundaland heath forests,E,IDN.15_1,Kalimantan Timur
51772,USA,Coal,3.685519889,0.328212849,51215.60241,329,Appalachian mixed mesophytic forests,C,USA.18_1,Kentucky
74755,BRA,Iron Ore,6.339252435,0.11308318,51260.99021,566,Campos Rupestres montane savanna,D,BRA.13_1,Minas Gerais
38958,MYS,Coal,36.66676965,0.079934186,35369.80745,219,Borneo lowland rain forests,E,MYS.14_1,Sarawak
31365,AUS,Lead,0.126027763,0,28846.12177,216,Western Australian Mulga shrublands,A,AUS.11_1,Western Australia
39705,USA,Coal,0.379359914,0,27235.04309,396,Northern Shortgrass prairie,C,USA.27_1,Montana
32024,KAZ,Gold,1.591187718,0.001887706,50077.08137,828,Kazakh semi-desert,C,KAZ.9_1,Qaraghandy
61220,KGZ,Coal,0.240928778,0.001648979,41112.83662,730,Gissaro-Alai open woodlands,C,KGZ.7_1,Osh
32185,EGY,Tin,1.018317315,0.000524746,38426.72412,836,Red Sea coastal desert,E,EGY.2_1,Al Bahr al Ahmar
60220,EGY,Ilmenite,0.811397834,0.000379052,29094.21773,836,Red Sea coastal desert,E,EGY.2_1,Al Bahr al Ahmar
60223,EGY,Phosphate,0.089123385,0,27746.18472,822,East Sahara Desert,E,EGY.14_1,Al Wadi al Jadid
35262,AUS,Iron Ore,0.56574094,0.00321123,40430.48344,213,Pilbara shrublands,C,AUS.11_1,Western Australia
29334,KAZ,Copper,0.16330346,0.00060901,35090.10627,732,Kazakh steppe,E,KAZ.9_1,Qaraghandy
76593,USA,Coal,0.218682925,0.025331704,37913.14127,387,Central US forest-grasslands transition,C,USA.15_1,Indiana
61647,CAN,U3O8,0.070499883,0.001586753,25861.22373,379,Northern Canadian Shield taiga,A,CAN.12_1,Saskatchewan
38886,COL,Iron Ore,132.7670958,0.218226749,50484.70413,477,Magdalena Valley montane forests,C,COL.6_1,Boyacá
30005,MAR,Tin,1.013393802,0.000263619,50615.03628,798,Mediterranean woodlands and forests,E,MAR.9_1,Meknès - Tafilalet
31679,PHL,Nickel,71.8838046,11.63662138,53974.48677,241,Luzon rain forests,E,PHL.78_1,Zambales
38206,USA,Coal,1.19868203,0.105055692,42842.20748,329,Appalachian mixed mesophytic forests,C,USA.39_1,Pennsylvania
26779,PHL,Gold,45.36060477,2.399071504,49631.75713,303,Luzon tropical pine forests,C,PHL.13_1,Benguet
34538,SAU,Gold,0.120698572,0,32982.41536,809,Arabian desert,E,SAU.11_1,Makkah
31290,BGR,Gold,0.383393792,0,56833.43749,678,Rodope montane mixed forests,B,BGR.7_1,Kardzhali
50682,POL,Coal,0.072986512,0,44088.03443,654,Central European mixed forests,C,POL.15_1,Wielkopolskie
59075,CAN,Iron Ore,0.153845429,0,23421.55074,333,Eastern Canadian Forest-Boreal transition,A,CAN.9_1,Ontario
41181,USA,Coal,0.74569783,0,39904.40293,438,Wyoming Basin shrub steppe,A,USA.6_1,Colorado
51664,USA,Coal,0.37752693,0.026145102,38900.58885,341,Ozark Mountain forests,E,USA.4_1,Arkansas
41438,USA,Coal,0.954462042,0.077636013,41133.80153,329,Appalachian mixed mesophytic forests,C,USA.39_1,Pennsylvania
51667,USA,Coal,1.237758252,0.102118209,49776.02798,387,Central US forest-grasslands transition,C,USA.15_1,Indiana
30840,AUS,Gold,4.896390733,0,60723.56811,176,Southeast Australia temperate forests,E,AUS.5_1,New South Wales
60536,IND,Bauxite,0.752539979,0.007415623,57874.94922,228,East Deccan moist deciduous forests,E,IND.26_1,Odisha
40240,IDN,Coal,5.94512863,0.014772451,38160.96989,281,Sundaland heath forests,E,IDN.13_1,Kalimantan Selatan
37537,PHL,Nickel,160.0119443,11.45384712,54490.44051,247,Mindanao-Eastern Visayas rain forests,E,PHL.75_1,Surigao del Sur
58379,ERI,Copper,3.803348418,0.086810381,46554.80339,79,Ethiopian montane grasslands and woodlands,E,ERI.2_1,Debub
29032,ETH,Gold,4.661830962,0.386117686,46571.87358,55,Somali Acacia-Commiphora bushlands and thickets,E,ETH.8_1,Oromia
30479,TJK,Lead,0.51702196,0.006847663,47493.03268,730,Gissaro-Alai open woodlands,C,TJK.5_1,Tadzhikistan Territories
37304,CHL,Iron Ore,12.90973578,1.381004784,37686.59437,596,Chilean Matorral,C,CHL.5_1,Atacama
40385,IND,Coal,1.275986725,0.038633515,49055.38842,228,East Deccan moist deciduous forests,E,IND.32_1,Telangana
41188,USA,Coal,2.482373875,0.258012937,41381.18767,329,Appalachian mixed mesophytic forests,C,USA.18_1,Kentucky
56694,USA,Coal,0.892345125,0.088163007,71357.9289,329,Appalachian mixed mesophytic forests,C,USA.39_1,Pennsylvania
68420,TUR,Coal,0.984951627,0.000152246,77612.77876,662,Eastern Anatolian deciduous forests,E,TUR.42_1,K. Maras
31215,ARM,Copper,1.737945877,0.001217123,57219.67229,650,Caucasus mixed forests,E,ARM.9_1,Syunik
61649,KAZ,U3O8,0.068925558,0,40214.43021,732,Kazakh steppe,E,KAZ.2_1,Aqmola
26731,PHL,Nickel,104.3017529,8.643366351,53470.15281,247,Mindanao-Eastern Visayas rain forests,E,PHL.2_1,Agusan del Norte
32880,AUS,Gold,0.401969659,0.059360431,30170.69049,184,Carpentaria tropical savanna,A,AUS.7_1,Queensland
30765,CIV,Gold,0.02070527,0.000608265,56811.45232,11,Eastern Guinean forests,C,CIV.5_1,Gôh-Djiboua
28758,RUS,Gold,0.274193668,0.001157647,35163.39151,773,Kamchatka tundra,A,RUS.24_1,Kamchatka
34508,ZAF,Diamonds,2.699976494,0.13503224,73413.41071,81,Highveld grasslands,C,ZAF.2_1,Free State
27406,AUS,Gold,0.151779308,0,28582.65761,216,Western Australian Mulga shrublands,A,AUS.11_1,Western Australia
31707,IND,Lead,0.221618725,0.000477918,43478.18166,315,Deccan thorn scrub forests,C,IND.2_1,Andhra Pradesh
61651,UZB,U3O8,0.287665968,0,38440.26626,819,Central Asian southern desert,E,UZB.10_1,Samarkand
69986,UKR,Coal,0.354257838,0,55511.00612,661,East European forest steppe,C,UKR.11_1,Kiev City
74744,BRA,Iron Ore,25.12196286,0.406917699,51177.71702,443,Bahia interior forests,E,BRA.13_1,Minas Gerais
29064,ESP,Nickel,6.975133743,0,45930.79909,793,Iberian sclerophyllous and semi-deciduous forests,E,ESP.11_1,Extremadura
26205,ARG,Zinc,2.706464398,0.270925405,42729.7067,588,Central Andean puna,D,ARG.10_1,Jujuy
67134,CHL,Copper,1.291294056,0.108305113,44827.83599,598,Atacama desert,A,CHL.5_1,Atacama
26687,PHL,Gold,59.24212027,5.797219815,47874.09588,247,Mindanao-Eastern Visayas rain forests,E,PHL.3_1,Agusan del Sur
30850,GHA,Gold,22.52898315,0.193829502,58373.56121,11,Eastern Guinean forests,C,GHA.2_1,Brong Ahafo
69391,CHN,Coal,0.110704152,0,39639.74766,761,Ordos Plateau steppe,E,CHN.19_1,Nei Mongol
33652,CHN,Zinc,23.11305785,0.004237279,35374.27567,706,Qionglai-Minshan conifer forests,C,CHN.26_1,Sichuan
40175,IDN,Iron Ore,43.47350916,0.160587469,41053.95559,279,Sumatran montane rain forests,D,IDN.30_1,Sumatera Barat
69551,FIN,Copper,0.103983269,0,45400.15556,717,Scandinavian and Russian taiga,A,FIN.5_1,Western Finland
31771,RUS,Diamonds,0.0459381,0.001619312,18333.2883,710,East Siberian taiga,A,RUS.60_1,Sakha
83508,CHN,Zinc,0.506492122,0.000924434,51294.30557,734,Mongolian-Manchurian grassland,E,CHN.19_1,Nei Mongol
39119,USA,Coal,0.118534225,0.011116849,55964.06996,387,Central US forest-grasslands transition,C,USA.15_1,Indiana
41512,AUS,Coal,11.70832328,0.029777063,33958.68656,168,Eastern Australian temperate forests,E,AUS.5_1,New South Wales
80820,CHN,Copper,5.448901682,0.004674931,48410.07113,643,Yunnan Plateau subtropical evergreen forests,C,CHN.26_1,Sichuan
27291,SWE,Copper,0.358581286,0,41158.54307,717,Scandinavian and Russian taiga,A,SWE.10_1,Norrbotten
69748,CHN,Coal,0.148981888,2.21822E-05,55473.52687,673,Northeast China Plain deciduous forests,C,CHN.18_1,Liaoning
70294,UKR,Coal,0.354257838,0,55511.00612,661,East European forest steppe,C,UKR.11_1,Kiev City
27158,AUS,Gold,0.20199705,0,39082.74786,216,Western Australian Mulga shrublands,A,AUS.11_1,Western Australia
70054,HUN,Coal,0.931905868,0.06860153,54019.90107,674,Pannonian mixed forests,C,HUN.19_1,Veszprém
24504,USA,Copper,1.027380015,0.000413944,53881.41684,435,Sonoran desert,E,USA.3_1,Arizona
70177,IND,Coal,0.183709844,0.007559591,41536.94916,292,Chhota-Nagpur dry deciduous forests,C,IND.15_1,Jharkhand
30105,KAZ,Gold,5.147855865,0.000245119,24049.36201,817,Central Asian northern desert,C,KAZ.14_1,Zhambyl
30735,KAZ,Copper,0.303555563,0.001327074,42307.62691,732,Kazakh steppe,E,KAZ.5_1,East Kazakhstan
34707,KAZ,U3O8,0.761984221,2.14963E-05,40133.03844,817,Central Asian northern desert,C,KAZ.12_1,South Kazakhstan
34633,KAZ,U3O8,0.595605782,0,36469.64661,817,Central Asian northern desert,C,KAZ.12_1,South Kazakhstan
28205,JPN,Zinc,4.007189739,0,42871.25684,671,Nihonkai montane deciduous forests,C,JPN.13_1,Hyogo
62747,ARM,Copper,0.197993564,0.000172407,44481.548,650,Caucasus mixed forests,E,ARM.7_1,Lori
26812,MRT,Gold,0.026666948,0,27850.75251,842,South Sahara desert,E,MRT.9_1,Inchiri
30897,MAR,Copper,0.845104613,0.000640582,63710.32581,796,Mediterranean Acacia-Argania dry woodlands and succulent thickets,E,MAR.12_1,Souss - Massa - Draâ
64339,GHA,Gold,34.52685647,1.796402022,66828.80479,11,Eastern Guinean forests,C,GHA.10_1,Western
29676,KAZ,Gold,0.213392764,0,50269.81043,732,Kazakh steppe,E,KAZ.2_1,Aqmola
69931,RUS,Coal,0.135337969,0.000954187,42261.45844,738,South Siberian forest steppe,A,RUS.27_1,Kemerovo
28811,KAZ,Copper,1.025460545,2.56365E-06,45094.07556,828,Kazakh semi-desert,C,KAZ.5_1,East Kazakhstan
79434,KAZ,Copper,1.025460545,2.56365E-06,45094.07556,828,Kazakh semi-desert,C,KAZ.5_1,East Kazakhstan
31423,GHA,Diamonds,29.34990882,5.595467635,40020.97776,11,Eastern Guinean forests,C,GHA.4_1,Eastern
31197,GHA,Gold,11.43164595,0.547481511,49276.99193,11,Eastern Guinean forests,C,GHA.4_1,Eastern
81944,GHA,Gold,65.12795867,11.20953131,47028.90196,11,Eastern Guinean forests,C,GHA.4_1,Eastern
36806,KAZ,Gold,0.365803443,0.001160838,50462.19092,724,Altai steppe and semi-desert,C,KAZ.5_1,East Kazakhstan
57030,KAZ,Zinc,0.485055527,0.001754001,39336.49049,828,Kazakh semi-desert,C,KAZ.9_1,Qaraghandy
56954,SAU,Bauxite,0.12524049,0,42749.5356,809,Arabian desert,E,SAU.9_1,Ha'il
64625,OMN,Copper,5.778380948,1.145128156,47721.90212,722,Al-Hajar foothill xeric woodlands and shrublands,E,OMN.1_1,Ad Dakhliyah
60140,SAU,Phosphate,0.096757778,0,30333.46542,831,North Arabian desert,E,SAU.3_1,Al Hudud ash Shamaliyah
37811,SAU,Zinc,0.127904867,0.000538236,40608.47132,837,Red Sea-Arabian Desert shrublands,E,SAU.12_1,Najran
68294,OMN,Chromite,10.9162708,2.560644799,50521.82244,722,Al-Hajar foothill xeric woodlands and shrublands,E,OMN.1_1,Ad Dakhliyah
49931,JOR,Phosphate,0.366765982,0.000436456,36208.49887,831,North Arabian desert,E,JOR.7_1,Karak
69556,IND,Chromite,0.15988424,0.005241032,69511.27841,298,South Deccan Plateau dry deciduous forests,C,IND.16_1,Karnataka
26487,SAU,Gold,0.176051597,0,47429.9414,809,Arabian desert,E,SAU.7_1,Ar Riyad
30249,MEX,Silver,5.8541793,0.103273012,51565.17372,545,Sinaloan dry forests,C,MEX.26_1,Sonora
69169,RUS,Coal,0.146132474,5.84423E-05,41867.66361,687,Western Siberian hemiboreal forests,C,RUS.27_1,Kemerovo
36097,CHN,Copper,0.342096609,0.001388745,52317.02717,696,Helanshan montane conifer forests,D,CHN.19_1,Nei Mongol
24451,USA,Gold,1.742796665,0,20154.3649,420,Pacific Coastal Mountain icefields and tundra,A,USA.2_1,Alaska
34553,RUS,Gold,1.899222769,0.002653515,32291.83705,715,Okhotsk-Manchurian taiga,A,RUS.28_1,Khabarovsk
69927,ROU,Coal,0.52290237,0.005881867,70502.48614,646,Balkan mixed forests,C,ROU.21_1,Gorj
32697,RUS,Gold,0.606842214,0.002904774,31785.00442,715,Okhotsk-Manchurian taiga,A,RUS.3_1,Amur
26841,CHL,Copper,6.473223826,0.679847892,48239.25252,596,Chilean Matorral,C,CHL.5_1,Atacama
78829,MEX,Gold,0.796975779,0.000913011,51356.78,428,Chihuahuan desert,C,MEX.6_1,Chihuahua
37329,RUS,Gold,0.113284465,0.001766827,19791.48004,710,East Siberian taiga,A,RUS.60_1,Sakha
35884,TJK,Lead,0.404420334,4.30108E-05,65079.94396,730,Gissaro-Alai open woodlands,C,TJK.4_1,Leninabad
77447,USA,Gold,0.315297907,0,39181.69034,394,Montana Valley and Foothill grasslands,C,USA.27_1,Montana
26570,AUS,Gold,0.025370283,0,29218.55049,197,Coolgardie woodlands,A,AUS.11_1,Western Australia
74748,BRA,Iron Ore,37.9133176,1.317049879,50554.36452,566,Campos Rupestres montane savanna,D,BRA.13_1,Minas Gerais
70053,UKR,Coal,0.017698669,0,43371.52438,735,Pontic steppe,E,UKR.6_1,Donets'k
69029,UKR,Coal,0.022066789,0,44855.66347,735,Pontic steppe,E,UKR.6_1,Donets'k
39448,RUS,Coal,0.088297759,0.000308132,44672.30787,738,South Siberian forest steppe,A,RUS.27_1,Kemerovo
67316,SRB,Coal,0.102021359,0,33372.83,646,Balkan mixed forests,C,SRB.10_1,Nišavski
81253,CHN,Copper,0.062661297,0.000123055,23257.28151,843,Taklimakan desert,E,CHN.28_1,Xinjiang Uygur
66970,ZAF,Diamonds,18.15494597,0.140413095,36558.54407,102,Namaqualand-Richtersveld steppe,B,ZAF.8_1,Northern Cape
60186,,Diamonds,8.14651221,0.038323352,NA,NA,,NA,,
39649,RUS,Gold,0.214993447,0,15356.26942,710,East Siberian taiga,A,RUS.83_1,Zabaykal'ye
85726,RUS,Gold,0.285538592,0,24057.22974,710,East Siberian taiga,A,RUS.83_1,Zabaykal'ye
31235,,Diamonds,48.65682325,0.043932278,NA,NA,,NA,,
