mineral_name,star_avg,star_max,star_min,eco_risk_avg,eco_risk_max,eco_risk_min,transition_alignment,justification,reference_1_text,reference_1_link,reference_2_text,reference_2_link,reference_3_text,reference_3_link
Alumina,1.834729371,3.351280224,0.318178517,43760.78725,55255.25917,32266.31532,false,"Alumina is part of the process of creating aluminium and is mined from bauxite. It is only a pre-stage to aluminium, which is already included in the list of minerals (as a compound of bauxite). ",,,,,,
Antimony,11.88368391,250.4938023,0.062264103,44371.13384,79419.58738,23739.34964,false,There is no evidence that Antimony supports the energy transition.,,,,,,
Bauxite,37.95798456,1007.149666,0.010879165,43922.985,80333.86478,6812.999226,true,"Bauxite is the main source for gallium and aluminium. Aluminium is one of the major cross-cutting minerals to supply the renewable energy transition and is used for wind, solar, energy storage, and nuclear installations. While being a major component of solar PV installations, the ratio of Aluminium used in most other technologies is relatively low compared to other minerals. Aluminium has an end-of-life recycling rate of >50%. Aluminium is expected to see very high but stable levels of demand through to 2050. By 2050, the annual demand for Aluminium from energy technologies is expected to be equivalent to 9% of 2018 production figures (under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Chromite,17.29918672,393.309024,0.037437023,45352.52534,72747.37975,6462.947052,false,There is no evidence that Chromite supports the energy transition.,,,,,,
Chromium,40.12317568,40.12317568,40.12317568,35981.042,35981.042,35981.042,true,"Chromium is one of the major cross-cutting minerals to supply the renewable energy transition and is used for wind, hydro, geothermal, nuclear, carbon capture and storage, and energy storage installations. While being a major component of geothermal energy installations, the ratio of chromium used in most other technologies is relatively low compared to other minerals. Copper has an end-of-life recycling rate of >50%. Chromium is expected to see steady levels of demand through to 2050. By 2050, the annual demand for Chromium from energy technologies is expected to be relatively low (equivalent to <2% of total Chromium production in 2018; under a 2-degree climate scenario).",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,,,,
Coal,6.590275657,717.1877103,0,44832.24508,100715.4551,6140.315302,false,Coal does not support the energy transition.,,,,,,
Cobalt,4.584357171,208.8663099,0.012057966,37739.99846,67618.89011,18153.62556,true,"Cobalt is used for energy storage, and carbon capture and storage installations. Cobalt is a key mineral for lithium-ion batteries. Cobalt is primarily poduced in one country, the Democratic Republic of Congo (70%), with production levels in other countries being <5% of the world production per country. Cobalt has an end-of-life recycling rate of >50%. There is higher uncertainty in how demand for Cobalt from renewable energy technologies will evolve given that technological disruption and deployment could significantly impact its demand. By 2050, the annual demand for Cobalt from energy technologies is expected to be equivalent to 460% of total Cobalt production in 2018 (under a 2-degree climate scenario). The majority of future global Cobalt demand is expected to be supplied by expanding currently existing mines.",World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future,Alves Dias et al. (2018),https://ec.europa.eu/jrc/en/publication/eur-scientific-and-technical-research-reports/cobalt-demand-supply-balances-transition-electric-mobility ,U.S. Geological Survey (2021),https://pubs.usgs.gov/periodicals/mcs2021/mcs2021.pdf
Copper,14.77654516,1776.062621,0,39765.02932,92357.73555,4021.65022,true,"Copper is one of the major cross-cutting minerals to supply the renewable energy transition and is used for wind, solar, hydro, geothermal, nuclear, coal, gas, carbon capture and storage, and energy storage installations. Copper is mainly being used for wind and solar PV installations, however the ratio of copper used in most other technologies is still significant. Copper has an end-of-life recycling rate of >50%. Copper is expected to see steady levels of demand through to 2050. By 2050, the annual demand for Copper from energy technologies is expected to be equivalent to 7% of total Copper production in 2018 (under a 2-degree climate scenario).",Elshkaki et al. (2016),https://www.sciencedirect.com/science/article/pii/S0959378016300802,Deetman et al. (2018),https://onlinelibrary.wiley.com/doi/full/10.1111/jiec.12533,World Bank (2020),https://documents.worldbank.org/en/publication/documents-reports/documentdetail/207371500386458722/the-growing-role-of-minerals-and-metals-for-a-low-carbon-future
Diamonds,4.236306848,838.9097415,0,34806.00725,79913.06495,2375.199382,false,There is no evidence that Diamonds support the energy transition.,,,,,,
Ferrochrome,1.456719114,1.456719114,1.456719114,43562.87757,43562.87757,43562.87757,false,There is no evidence that Ferrochrome supports the energy transition.,,,,,,
Ferronickel,145.5390557,145.5390557,145.5390557,27300.51099,27300.51099,27300.51099,false,Ferronickel is an alloy containing nickel and iron. Nickel and iron are both included in the list of minerals and their alignment with the energy transition is covered separately. ,,,,,,
Gold,16.94174761,2241.195755,0,38301.69074,91655.51164,4199.158151,true,"Gold has a minor role in supplying the renewable energy transition. While the use of gold to improve existing low carbon technologies such as hydrogen fuel cells and photovoltaic is currently under development, it is more widely used as an electroplated coating in electrical and electronic components. In terms of absolute numbers, the main use of gold today is for jewellery and as a medium of exchange or money. Gold has an end-of-life recycling rate of >50%. Gold is expected to see relatively stable levels of demand in the near future.",Energy Industry Review (2018),https://energyindustryreview.com/metals-mining/golds-role-in-improving-energy-efficiency-and-developing-low-carbon-technologies/,World Gold Council (2018),https://www.valuewalk.com/wp-content/uploads/2018/05/Gold-2048.pdf,Goodman (2002),https://link.springer.com/content/pdf/10.1007/BF03214833.pdf
