mine_id,relationship,company
24431,operator,NA
24431,owner,NA
24447,operator,Yakataga Gold
24447,owner,Yakataga Gold
24450,operator,"Coeur Mining, Inc."
24450,owner,"Coeur Mining, Inc."
24451,operator,NA
24451,owner,NA
24452,operator,NA
24452,owner,NA
24463,operator,Excelsior Mining Corporation
24463,owner,Excelsior Mining Corporation
24467,operator,Freeport-McMoRan Inc.
24467,owner,Freeport-McMoRan Inc.
24469,operator,Freeport-McMoRan Inc.
24469,owner,Freeport-McMoRan Inc.
24470,operator,Capstone Mining Corp.
24470,owner,Capstone Mining Corp.
24472,operator,BHP Group
24472,owner,BHP Group
24473,operator,Freeport-McMoRan Inc.
24473,owner,Freeport-McMoRan Inc.
24474,operator,Freeport-McMoRan Inc.
24474,owner,Freeport-McMoRan Inc.
24475,operator,New Canamin Resources Ltd.
24475,owner,New Canamin Resources Ltd.
24482,operator,"Waterton Global Resource Management, Inc."
24482,owner,"Waterton Global Resource Management, Inc."
24496,operator,Harrison Mining Inc
24496,owner,Cerbat Mining and Milling
24500,operator,NA
24500,owner,NA
24502,operator,Western States Minerals Corp
24502,owner,Western States Minerals Corp
24503,operator,Freeport-McMoRan Inc.
24503,owner,Freeport-McMoRan Inc.
24504,operator,Freeport Minerals Corporation
24504,owner,Freeport-McMoRan Inc.
24505,operator,"Grupo México, S.A.B. de C.V."
24505,owner,"Grupo México, S.A.B. de C.V."
24507,operator,NA
24507,owner,NA
24508,operator,BHP Group
24508,owner,BHP Group
24509,operator,"Grupo México, S.A.B. de C.V."
24509,owner,"Grupo México, S.A.B. de C.V."
24510,operator,Taseko Mines Limited
24510,owner,Taseko Mines Limited
24512,operator,Rio Tinto
24512,owner,Rio Tinto
24513,operator,NA
24513,owner,NA
24516,operator,Arizona State Land Department
24516,owner,Arizona State Land Department
24518,operator,Freeport-McMoRan Inc.
24518,owner,Freeport-McMoRan Inc.
24523,operator,NA
24523,owner,NA
24529,operator,Lynx Corp
24529,owner,Lynx Corp
24531,operator,NA
24531,owner,NA
24533,operator,NA
24533,owner,NA
24535,operator,NA
24535,owner,NA
24536,operator,Goldrock Resources Inc.
24536,owner,Goldrock Resources Inc.
24549,operator,Southern Empire Resources Corp.
24549,owner,Southern Empire Resources Corp.
24550,operator,NA
24550,owner,NA
24557,operator,NA
24557,owner,NA
24558,operator,NA
24558,owner,NA
