Sector,Subindustry,Process
Industrial,Líneas aéreas ,Servicios aeroportuarios 
Industrial,Servicios aeroportuarios,Servicios aeroportuarios
Productos básicos de consumo,Cerveceras ,Fermentación alcohólica y destilería 
Productos básicos de consumo,Destilerías y viñateros ,Fermentación alcohólica y destilería 
Materiales,Aluminio,Refinado de alúmina 
Productos básicos de consumo,Productos agrícolas ,Acuicultura
Servicios ,Electricidad renovable ,Producción de energía de biomasa 
Consumo discrecional ,Cable y satélite,Instalaciones de cable y satélite en tierra 
Servicios de telecomunicaciones,Empresas alternativas ,Instalaciones de cable y satélite en tierra
Materiales,Productos químicos básicos,"Craqueo catalítico, destilación fraccionada y cristalización "
Materiales,Gases industriales ,"Craqueo catalítico, destilación fraccionada y cristalización"
Materiales,Químicos especiales ,"Craqueo catalítico, destilación fraccionada y cristalización"
Consumo discrecional ,Obras residenciales ,Construcción
Industrial,Carreteras y vías férreas ,Construcción
Materiales,Materiales de construcción ,Producción de materiales de construcción 
Consumo discrecional,"Hoteles, resorts y cruceros ",Suministros para cruceros 
Materiales,Gases industriales ,Separación criogénica de aire 
Consumo discrecional ,Distribuidores,Distribución
Productos básicos de consumo,Distribuidores de alimentos ,Distribución
Salud ,Distribuidores de servicios de salud ,Distribución
Industrias,Flete aéreo y logística ,Distribución
Industrias,Empresas comerciales y distribuidores ,Distribución
Tecnología de la información ,Distribuidores de tecnología ,Distribución
Servicios ,Servicios eléctricos ,Transmisión y distribución de energía eléctrica/nuclear
Servicios ,Productores de energía independiente y comercializadores de energía ,Transmisión y distribución de energía eléctrica/nuclear
Consumo discrecional ,Electrónica de consumo ,Electrónica y producción de hardware 
Industria,Componentes eléctricos y equipo ,Electrónica y producción de hardware
Tecnología de la información ,Equipo de comunicaciones ,Electrónica y producción de hardware
Tecnología de la información,Componentes electrónicos ,Electrónica y producción de hardware
Tecnología de la información,Equipo e instrumentos electrónicos ,Electrónica y producción de hardware
Tecnología de la información,Servicios de fabricación electrónica ,Electrónica y producción de hardware
Tecnología de la información,"Hardware de tecnología, almacenamiento y periféricos ",Electrónica y producción de hardware
Industria,Servicios ambientales y de créditos ,Servicios ambientales y de créditos 
Servicios de telecomunicaciones ,Operadores alternativos ,Instalación de cable de fibra óptica (marítima)
Finanzas,Gestión de activos y bancos de custodia ,Servicios financieros 
Finanzas,Finanzas del consumidor ,Servicios financieros
Finanzas,Bancos diversificados ,Servicios financieros
Finanzas,Mercados de capital diversificado ,Servicios financieros
Finanzas,Intercambios y datos financieros ,Servicios financieros
Finanzas,Corredores de seguros ,Servicios financieros
Finanzas,Banca de inversiones y corretaje,Servicios financieros
Finanzas,Seguro de vida y seguro de salud ,Servicios financieros 
