GEF ID,Project title,Task Manager,Timeline,PIR Year,Core Indicators,Core Indicators Value,Sub-core indicator,Sub core-indicator value,Unit_of Measure,Notes
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),0,,,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.1: Terrestrial protected areas newly created (Hectares),0,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Baseline,,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.2: Terrestrial protected areas under improved management effectiveness (METT Score),0,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,Baseline,,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),0,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,PIR Year,2020,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),196.49,,,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,PIR Year,2020,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.1: Terrestrial protected areas newly created (Hectares),196.49,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,PIR Year,2020,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.1: Terrestrial protected areas under improved management effectiveness (Hectares),0,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,PIR Year,2020,Indicator 1: Terrestrial protected areas created or under improved management for conservation and sustainable use (Hectares),,Indicator 1.2.2: Terrestrial protected areas under improved management effectiveness (METT Score),29,,
6990,"Achieving Biodiversity Conservation through Creation, Effective Management and Spatial Designation of Protected Areas and Capacity Building",Ersin Esen,PIR Year,2020,Indicator 4: Area of landscapes under improved practices (hectares; excluding protected areas),,Indicator 4.1: Area of landscapes under improved management to benefit biodiversity (Hectares),0,,
