GEF ID,Lead GEF Agency,Country,Geographic Scope,Project title,Project Short Title,Task Manager,Project Type,Current Project  Status,Focal Area_A,Subprogramme,PIF/Council Approval Date,Date of full project submission to GEF Secretariat,PPG  CEO Approval,UNEP signature date      (PPG),Expected/ Actual Completion date PPG,PPG WBSE,Project Preparation Grant (PPG),  Project CEO Approval/Endorsement Date,UNEP signature date  (Project),Date of latest signature date on the umbrella legal instrument,Expected Technical Completion date (Project),Revised Technical Completion date (Project),Actual Technical Completion date (Project),Expected Completion date (Validity of the LA),Number of Amendments to LA,Actual Completion date (Validity of the LA),Project WBSE,S1 Grant Code,P1 Grant Code,Project  Grant ,  Co-financing Amount ,  PA focal point  , FMO , FA Focal Point , Project mid-term review/evaluation status , Project terminal evaluation status  , Date of project financial closure , Fund , Branch , Comments  ,Technical completion date, Corporate Services(AG_Fee) , Project Cycle Activities(AG_Fee) , Portfolio_Total(AG_Fee) 
457,UNEP/UNDP,"Regional (Senegal, Mauritania)",Africa,Biological Diversity Conservation through Participatory Rehabilitation of the Degraded Lands of the Arid and Semi-Arid Transboundary Areas of Mauritania and Senegal,,BD/LD Unit,FSP,Completed,Biodiversity,Ecosystem Management,30-Mar-98,,,,,,$0.00,,,,,,,,,,,,,"$2,278,504",,,,,,,,GFL,,,12/30/1899," 22,785 "," 205,065 "," 227,850 "
1025,UNEP,"Regional(Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan)",Asia Pacific,In Situ/On Farm Conservation and Use of Agricultural Biodiversity (Horticultural Crops and Wild Fruit Species) in Central Asia,Wild Fruit,BD/LD Unit,FSP,Completed,Biodiversity,,,,02-May-01,,,,,12-Oct-05,,,,,,,,,SB-000780.43.01,S1-32GFL-000360,P1-33GFL-000558,"$5,718,070","6,145,595",,,,,Completed,,GFL,,,12/30/1899," 57,181 "," 514,626 "," 571,807 "
1163,UNEP,Russian Federation,Europe,An Integrated Ecosystem Management Approach to Conserve Biodiversity and Minimize Habitat Fragmentation in Three Selected Model Areas in the Russian Arctic (ECORA),ECORA,Johan Robinson,FSP,Completed,Multi-focal Areas(BD),Ecosystem Management,15-Oct-02,,17-Jul-00,08-Feb-01,08-Jul-03,,$0.00,27-Apr-04,26-May-04,,,,,,,,SB-000779.69,S1-32GFL-000155,P1-33GFL-000023,"$3,000,000"," 3,880,000 ",Aska Ochiel ,Janet Bwiza,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,12/30/1899," 30,000 "," 270,000 "," 300,000 "
1216,UNEP,"Regional (Benin, Burkina Faso, Cote d'Ivoire, Mali, Niger, Senegal)",Africa,Building Scientific and Technical Capacity for Effective Management and Sustainable Use of Dryland Biodiversity in West African Biosphere Reserves,West African Biosphere Reserves,Johan Robinson,FSP,Completed,Biodiversity,Ecosystem Management,16-May-03,,28-Feb-01,04-Dec-01,02-Mar-05,,$0.00,04-May-04,02-Jul-04,,,,,,,,SB-000780.13,S1-32GFL-000169,P1-33GFL-000040,"$2,400,000"," 3,703,000 ",Aska Ochiel ,Janet Bwiza,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,12/30/1899," 24,000 "," 216,000 "," 240,000 "
1259,UNEP,"Regional(Armenia, Bolivia, Madagascar, Sri Lanka, Uzbekistan)",Global,In-situ Conservation of Crop Wild Relatives through Enhanced Information Management and Field Application,Wild Relatives,BD/LD Unit,FSP,Completed,Biodiversity,,,,07-Apr-00,,,,,02-Mar-04,,,,,,,,,SB-00815.38,S1-32GFL-000142,P1-33GFL-000646,"$5,827,025","6,176,969",,,,,Completed,,GFL,,,12/30/1899," 58,270 "," 524,432 "," 582,703 "
1431,UNEP,"Regional (Gambia, Guinea, Guinea-Bissau, Mali, Mauritania, Niger, Senegal, Sierra Leone)",Africa,Fouta Djallon Highlands Integrated Natural Resources Management Project (FDH-INRM) (Tranches 1 and 2),Fouta Djallon,Adamou Bouhari,FSP,Under Implementation,Land Degradation,Ecosystems Management,10-Nov-05,01-Jul-08,03-Jan-00,20-Sep-01,14-Sep-03,,"$375,000.00",27-Oct-08,20-Apr-09,20-Apr-09,31-Dec-21,31-Dec-23,,01-Jun-22,2,01-Jun-22,SB-000685.16.01,S1-32GFL-000277,P1-33GFL-000128,"$11,000,000"," 33,000,000 ",Eric Mugo,George Saddimbah,Linda Choge,,,31-Dec-21,GFL,Biodiversity and Land Branch (BLB),,12/31/2023," 110,000 "," 990,000 "," 1,100,000 "
1706,UNEP,Trinidad and Tobago,Latin America and the Caribbean,National Capacity Self Assessment (NCSA) for Global Environmental Management,,BD/LD Unit,EA,Completed,Multi-focal Areas(CB),,14-May-04,,,,,,$0.00,14-May-04,04-Jul-04,,,,,,,,SB-000780.28,,,"$181,500", - ,,,,,,,GFL,,,12/30/1899," 1,815 "," 16,335 "," 18,150 "
1902,UNEP,"Regional (Pakistan, Sri Lanka, Vietnam, Bangladesh)",Asia Pacific,Development and application of decision-support tools to conserve and sustainably use genetic diversity in indigenous livestock and wild relatives, Indigenous Livestock and Wild Relatives,Johan Robinson,FSP,Technically Completed,Biodiversity,Ecosystem Management,16-Nov-07,,13-Jun-03,08-Oct-03,,,$0.00,26-Nov-08,01-Mar-09,03-Mar-09,,30-Jun-20,31-Oct-20,31-Dec-20,1,30-Apr-21,SB-000780.56.01,S1-32GFL-000320,P1-33GFL-000122,"$1,982,770"," 3,971,000 ",Aska Ochiel ,Janet Bwiza,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,10/31/2020," 19,828 "," 178,449 "," 198,277 "
1914,UNEP,Vanuatu,Asia Pacific,National Capacity Needs Self-Assessment (NCSA) for Global Environmental Management,,BD/LD Unit,EA,Completed,Multi-focal Areas(CB),,05-May-04,,15-Nov-02,,,,$0.00,05-May-04,23-Jun-04,,,,,,,,SB-000780.23,,,"$199,500", - ,Evelyn Machasio ,,,,,,GFL,,,12/30/1899," 1,995 "," 17,955 "," 19,950 "
1962,UNEP,Barbados,Latin America and the Caribbean,Assessment of Capacity Building Needs and Country Specific Priorities in the Conservation of Biodiversity  and Participation in the National Clearing House Mechanism,Barbados CHM,Jane Nimpamya,EA,Under Implementation,Biodiversity,Ecosystem Management,01-Apr-05,,,,,,$0.00,01-Apr-05,29-Sep-05,01-Sep-05,30-Sep-16,31-Dec-20,31-Dec-23,30-Dec-20,1,30-Jun-21,SB-000684.21.01,S1-32GFL-000262,P1-33GFL-000063,"$286,800"," 57,700 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2023," 2,868 "," 25,812 "," 28,680 "
2064,UNEP,Cuba,Latin America and the Caribbean,National Capacity Self-Assessment (NCSA) for Global Environmental Management,,BD/LD Unit,EA,Completed,Multi-focal Areas(CB),,24-Jan-06,,,,,,$0.00,24-Jan-06,08-Jun-06,,,,,,,,SB-000816.21,,,"$200,000"," 48,000 ",Evelyn Machasio ,,,,,,GFL,,,12/30/1899," 2,000 "," 18,000 "," 20,000 "
2123,UNEP,"Global (Ghana, Kenya, South Africa, India, Nepal, Pakistan, Brazil)",Global,"Conservation and Management of Pollinators for Sustainable Agriculture, through an Ecosystem Approach",Pollinators project,Johan Robinson,FSP,Completed,Biodiversity,Ecosystem Management,14-Jun-07,,13-Jun-03,29-Mar-04,07-Aug-09,,"$700,000.00",31-Jul-08,20-Nov-08,13-Nov-08,31-Dec-13,31-Dec-15,31-Dec-15,30-Jun-16,1,30-Jun-16,SB-000685.01,S1-32GFL-000198,P1-33GFL-000098,"$7,810,682"," 18,647,321 ",Aska Ochiel ,Janet Bwiza,Weldon Lemein,,,,GFL ,Biodiversity and Land Branch (BLB),Terminal Evaluation process underway,12/31/2015," 78,107 "," 702,961 "," 781,068 "
2128,UNEP,Global,Global,Building Capacity for Effective Participation in the Biosafety Clearing House (BCH) of the Cartagena Protocol,BCH I,Alex Owusu-Biney,FSP,Completed,Biodiversity,Ecosystem Management,21-Nov-03,,,,,,$0.00,03-Mar-04,05-May-04,05-May-04,22-Mar-07,22-Dec-08,22-Dec-09,20-May-13,2,20-May-13,SB-000780.24,,,"$4,615,000"," 350,000 ",Evelyn Machasio,Lydia Eibl-Kamolleh,Justus Mutiga,Completed,Completed,,GFL,Division of GEF Coordination,Closed ,12/22/2009," 46,150 "," 415,350 "," 461,500 "
2184,UNEP,"Regional(Ghana,Morocco, South Africa, Uganda)",Africa,SIP: Stimulating Community Initiatives in Sustainable Land Management (SCI-SLM),SCI-SLM,Adamou Bouhari,MSP,Completed,Land Degradation,Ecosystems Management,,,,,,,,,,,,,,,,,SB-000780.59,S1-32GFL-000231,P1-33GFL-000126,"$912,391","948,000",,George Saddimbah,linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,12/30/1899," 9,124 "," 82,115 "," 91,239 "
2430,UNEP,"Regional (India, Indonesia, Malaysia, Thailand)",Asia Pacific,"Conservation and sustainable use of Cultivated and Wild Tropical  Fruit diversity: Promoting sustainable Livelihoods, Food Security and Ecosystem Services",Wild Tropical Fruit Diversity,Johan Robinson,FSP,Completed,Biodiversity,Ecosystem Management,05-Sep-07,,24-Jun-04,26-Aug-04,14-Jan-08,,"$326,000.00",27-Oct-08,26-Jan-09,01-Jan-09,31-Dec-13,31-Dec-15,31-Dec-15,30-Jun-16,1,30-Jun-16,SB-000780.55,S1-32GFL-000342,P1-33GFL-000114,"$3,661,674"," 6,714,074 ",Aska Ochiel ,Janet Bwiza,Weldon Lemein,,,,GFL ,Biodiversity and Land Branch (BLB),Terminal Evaluation process underway,12/31/2015," 36,617 "," 329,551 "," 366,167 "
